game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,09:08,MIA,,ORL,,N. Jović,MIA,Jović REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,09:08,MIA,6.0,ORL,6.0,N. Jović,MIA,Jović Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0065,1,08:53,MIA,,ORL,,N. Jović,MIA,Jović S.FOUL (P1.T1) (C.Washington),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,1,07:16,MIA,9.0,ORL,9.0,N. Jović,MIA,Jović 4' Running Finger Roll Layup (4 PTS) (Rozier 1 AST),Made Shot,Running Finger Roll Layup Shot,-43,6,4,1,2.0,2.0,h
S2425-G0065,1,06:23,MIA,15.0,ORL,11.0,N. Jović,MIA,Jović 24' 3PT Running Jump Shot (7 PTS) (Butler 1 AST),Made Shot,Running Jump Shot,-224,78,24,1,3.0,3.0,h
S2425-G0065,1,06:01,MIA,17.0,ORL,11.0,N. Jović,MIA,Jović 1' Cutting Finger Roll Layup Shot (9 PTS) (Herro 1 AST),Made Shot,Cutting Finger Roll Layup Shot,-4,5,1,1,2.0,2.0,h
S2425-G0065,1,04:18,MIA,,ORL,,N. Jović,MIA,Jović Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0065,1,04:13,MIA,,ORL,,N. Jović,MIA,SUB: Bryant FOR Jović,Substitution,,0,0,0,0,,,h
S2425-G0065,2,04:58,MIA,,ORL,,N. Jović,MIA,MISS Jović 3PT Jump Shot,Missed Shot,Jump Shot,228,4,0,1,3.0,0.0,h
S2425-G0065,2,04:33,MIA,,ORL,,N. Jović,MIA,Jović REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,04:03,MIA,,ORL,,N. Jović,MIA,MISS Jović 24' 3PT Jump Shot,Missed Shot,Jump Shot,-72,232,24,1,3.0,0.0,h
S2425-G0065,2,03:04,MIA,,ORL,,N. Jović,MIA,Jović S.FOUL (P2.PN) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,2,01:54,MIA,,ORL,,N. Jović,MIA,Jović REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,01:34,MIA,,ORL,,N. Jović,MIA,Jović BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0065,2,01:27,MIA,,ORL,,N. Jović,MIA,MISS Jović 3PT Jump Shot,Missed Shot,Jump Shot,-223,43,0,1,3.0,0.0,h
S2425-G0065,2,00:12.100000,MIA,,ORL,,N. Jović,MIA,SUB: Highsmith FOR Jović,Substitution,,0,0,0,0,,,h
S2425-G0065,3,11:07,MIA,,ORL,,N. Jović,MIA,MISS Jović 27' 3PT Jump Shot,Missed Shot,Jump Shot,103,247,27,1,3.0,0.0,h
S2425-G0065,3,10:39,MIA,,ORL,,N. Jović,MIA,Jović S.FOUL (P3.T1) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,3,10:29,MIA,,ORL,,N. Jović,MIA,MISS Jović 26' 3PT Jump Shot,Missed Shot,Jump Shot,-185,185,26,1,3.0,0.0,h
