game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,05:32,PHI,,MIL,,B. Portis,MIL,MISS Portis 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,71,37,8,1,2.0,0.0,v
S2425-G0066,1,05:07,PHI,12.0,MIL,12.0,B. Portis,MIL,Portis 1' Layup (2 PTS) (Prince 2 AST),Made Shot,Layup Shot,13,0,1,1,2.0,2.0,v
S2425-G0066,1,03:46,PHI,,MIL,,B. Portis,MIL,Portis Offensive Goaltending Turnover (P1.T2),Turnover,Offensive Goaltending,0,0,0,0,,,v
S2425-G0066,1,03:08,PHI,,MIL,,B. Portis,MIL,Portis REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,03:05,PHI,17.0,MIL,14.0,B. Portis,MIL,Portis 2' Layup (4 PTS),Made Shot,Layup Shot,-13,12,2,1,2.0,2.0,v
S2425-G0066,1,02:51,PHI,,MIL,,B. Portis,MIL,Portis REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,02:50,PHI,,MIL,,B. Portis,MIL,Portis Lost Ball Turnover (P2.T3),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0066,1,02:49,PHI,,MIL,,B. Portis,MIL,Portis L.B.FOUL (P1.T3) (S.Foster),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0066,1,02:23,PHI,17.0,MIL,16.0,B. Portis,MIL,Portis 1' Driving Layup (6 PTS) (Antetokounmpo 1 AST),Made Shot,Driving Layup Shot,-5,12,1,1,2.0,2.0,v
S2425-G0066,1,01:54,PHI,17.0,MIL,19.0,B. Portis,MIL,Portis 3PT Jump Shot (9 PTS) (Antetokounmpo 2 AST),Made Shot,Jump Shot,-229,8,0,1,3.0,3.0,v
S2425-G0066,2,11:41,PHI,,MIL,,B. Portis,MIL,MISS Portis 14' Jump Shot,Missed Shot,Jump Shot,141,12,14,1,2.0,0.0,v
