game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,10:46,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,274,27,1,3.0,0.0,v
S2425-G0066,1,10:36,PHI,,MIL,,D. Lillard,MIL,Lillard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,08:02,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,227,106,25,1,3.0,0.0,v
S2425-G0066,1,07:16,PHI,8.0,MIL,5.0,D. Lillard,MIL,Lillard Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,1,07:16,PHI,8.0,MIL,6.0,D. Lillard,MIL,Lillard Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,1,06:48,PHI,10.0,MIL,8.0,D. Lillard,MIL,Lillard 7' Step Back Bank Jump Shot (4 PTS),Made Shot,Step Back Bank Jump Shot,61,37,7,1,2.0,2.0,v
S2425-G0066,1,04:32,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,162,211,27,1,3.0,0.0,v
S2425-G0066,1,01:56,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,4,47,5,1,2.0,0.0,v
S2425-G0066,1,01:24,PHI,,MIL,,D. Lillard,MIL,SUB: Wright FOR Lillard,Substitution,,0,0,0,0,,,v
S2425-G0066,2,07:17,PHI,,MIL,,D. Lillard,MIL,Lillard REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,06:44,PHI,,MIL,,D. Lillard,MIL,Lillard REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,06:07,PHI,33.0,MIL,36.0,D. Lillard,MIL,Lillard 3PT Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,-229,-5,0,1,3.0,3.0,v
S2425-G0066,2,05:09,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,23,20,3,1,2.0,0.0,v
S2425-G0066,2,05:09,PHI,,MIL,,D. Lillard,MIL,Lillard REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,05:09,PHI,,MIL,,D. Lillard,MIL,MISS Lillard Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0066,2,05:09,PHI,,MIL,,D. Lillard,MIL,Lillard REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,04:36,PHI,37.0,MIL,41.0,D. Lillard,MIL,Lillard 1' Driving Reverse Layup (9 PTS),Made Shot,Driving Reverse Layup Shot,6,8,1,1,2.0,2.0,v
S2425-G0066,2,02:25,PHI,42.0,MIL,54.0,D. Lillard,MIL,Lillard 26' 3PT Pullup Jump Shot (12 PTS),Made Shot,Pullup Jump shot,170,200,26,1,3.0,3.0,v
S2425-G0066,2,00:57.800000,PHI,44.0,MIL,56.0,D. Lillard,MIL,Lillard Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,2,00:57.800000,PHI,,MIL,,D. Lillard,MIL,MISS Lillard Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
