game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,11:26,PHI,0.0,MIL,1.0,G. Antetokounmpo,MIL,Antetokounmpo Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,1,11:26,PHI,0.0,MIL,2.0,G. Antetokounmpo,MIL,Antetokounmpo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,1,10:04,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,09:21,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,09:13,PHI,3.0,MIL,4.0,G. Antetokounmpo,MIL,Antetokounmpo 1' Cutting Dunk Shot (4 PTS) (Prince 1 AST),Made Shot,Cutting Dunk Shot,4,4,1,1,2.0,2.0,v
S2425-G0066,1,08:49,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,08:47,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0066,1,08:37,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo S.FOUL (P1.T2) (M.Kogut),Foul,Shooting,0,0,0,0,,,v
S2425-G0066,1,08:27,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo 2' Cutting Finger Roll Layup Shot,Missed Shot,Cutting Finger Roll Layup Shot,7,17,2,1,2.0,0.0,v
S2425-G0066,1,07:17,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,06:34,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,06:23,PHI,10.0,MIL,10.0,G. Antetokounmpo,MIL,Antetokounmpo 17' Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,127,116,17,1,2.0,2.0,v
S2425-G0066,1,06:12,PHI,,MIL,,G. Antetokounmpo,MIL,SUB: Portis FOR Antetokounmpo,Substitution,,0,0,0,0,,,v
S2425-G0066,1,01:55,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,01:28,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,01:24,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0066,1,01:24,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0066,1,00:43.600000,PHI,19.0,MIL,21.0,G. Antetokounmpo,MIL,Antetokounmpo 1' Driving Layup (8 PTS),Made Shot,Driving Layup Shot,9,6,1,1,2.0,2.0,v
S2425-G0066,1,00:43.600000,PHI,19.0,MIL,22.0,G. Antetokounmpo,MIL,Antetokounmpo Free Throw 1 of 1 (9 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0066,1,00:05.600000,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo P.FOUL (P2.T4) (B.Forte),Foul,Personal,0,0,0,0,,,v
S2425-G0066,1,00:05.600000,PHI,,MIL,,G. Antetokounmpo,MIL,SUB: Prince FOR Antetokounmpo,Substitution,,0,0,0,0,,,v
S2425-G0066,2,10:14,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,08:43,PHI,27.0,MIL,31.0,G. Antetokounmpo,MIL,Antetokounmpo 1' Running Dunk (11 PTS) (Connaughton 1 AST),Made Shot,Running Dunk Shot,9,8,1,1,2.0,2.0,v
S2425-G0066,2,07:45,PHI,,MIL,,G. Antetokounmpo,MIL,SUB: Lillard FOR Antetokounmpo,Substitution,,0,0,0,0,,,v
S2425-G0066,3,11:13,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0066,3,11:13,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0066,3,09:27,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,08:57,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo S.FOUL (P3.T3) (S.Foster),Foul,Shooting,0,0,0,0,,,v
S2425-G0066,3,08:40,PHI,57.0,MIL,72.0,G. Antetokounmpo,MIL,Antetokounmpo 3' Driving Finger Roll Layup (13 PTS),Made Shot,Driving Finger Roll Layup Shot,27,5,3,1,2.0,2.0,v
S2425-G0066,3,07:44,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,16,22,3,1,2.0,0.0,v
S2425-G0066,3,07:20,PHI,61.0,MIL,74.0,G. Antetokounmpo,MIL,Antetokounmpo 2' Driving Layup (15 PTS) (Lillard 4 AST),Made Shot,Driving Layup Shot,23,3,2,1,2.0,2.0,v
S2425-G0066,3,05:42,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:9),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,05:18,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:10),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,05:15,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo Palming Turnover (P2.T7),Turnover,Palming Turnover,0,0,0,0,,,v
S2425-G0066,3,05:15,PHI,,MIL,,G. Antetokounmpo,MIL,SUB: Portis FOR Antetokounmpo,Substitution,,0,0,0,0,,,v
S2425-G0066,3,00:25.900000,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:1 Def:11),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,00:05.400000,PHI,78.0,MIL,100.0,G. Antetokounmpo,MIL,Antetokounmpo 1' Cutting Layup Shot (17 PTS) (Lopez 4 AST),Made Shot,Cutting Layup Shot,11,-4,1,1,2.0,2.0,v
S2425-G0066,4,11:36,PHI,81.0,MIL,101.0,G. Antetokounmpo,MIL,Antetokounmpo Free Throw 1 of 2 (18 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
