game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,09:48,PHI,,MIL,,G. Trent Jr.,MIL,MISS Trent Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,10,269,27,1,3.0,0.0,v
S2425-G0066,1,09:06,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,v
S2425-G0066,1,00:47.300000,PHI,,MIL,,G. Trent Jr.,MIL,SUB: Green FOR Trent Jr.,Substitution,,0,0,0,0,,,v
S2425-G0066,2,07:04,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,06:57,PHI,,MIL,,G. Trent Jr.,MIL,MISS Trent Jr. 27' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-196,190,27,1,3.0,0.0,v
S2425-G0066,2,05:05,PHI,35.0,MIL,38.0,G. Trent Jr.,MIL,Trent Jr. 2' Cutting Layup Shot (2 PTS) (Portis 2 AST),Made Shot,Cutting Layup Shot,11,15,2,1,2.0,2.0,v
S2425-G0066,2,05:05,PHI,35.0,MIL,39.0,G. Trent Jr.,MIL,Trent Jr. Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0066,2,00:41.200000,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. P.FOUL (P2.PN) (S.Foster),Foul,Personal,0,0,0,0,,,v
S2425-G0066,3,10:49,PHI,51.0,MIL,64.0,G. Trent Jr.,MIL,Trent Jr. 25' 3PT Jump Shot (6 PTS) (Antetokounmpo 6 AST),Made Shot,Jump Shot,-150,203,25,1,3.0,3.0,v
S2425-G0066,3,09:07,PHI,55.0,MIL,70.0,G. Trent Jr.,MIL,Trent Jr. 27' 3PT Step Back Jump Shot (9 PTS) (Lillard 3 AST),Made Shot,Step Back Jump shot,175,200,27,1,3.0,3.0,v
S2425-G0066,3,06:40,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. S.FOUL (P3.T4) (M.Kogut),Foul,Shooting,0,0,0,0,,,v
S2425-G0066,3,06:22,PHI,,MIL,,G. Trent Jr.,MIL,MISS Trent Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,-72,240,25,1,3.0,0.0,v
S2425-G0066,3,04:33,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. P.FOUL (P4.PN) (M.Kogut),Foul,Personal,0,0,0,0,,,v
S2425-G0066,3,04:33,PHI,,MIL,,G. Trent Jr.,MIL,SUB: Wright FOR Trent Jr.,Substitution,,0,0,0,0,,,v
S2425-G0066,4,05:43,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. P.FOUL (P5.T2) (S.Foster),Foul,Personal,0,0,0,0,,,v
