game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0083,4,01:33,MIL,,CHI,,M. Beauchamp,MIL,MISS Beauchamp 28' 3PT Jump Shot,Missed Shot,Jump Shot,157,226,28,1,3.0,0.0,h
S2425-G0083,4,01:18,MIL,,CHI,,M. Beauchamp,MIL,Beauchamp Out of Bounds - Bad Pass Turnover Turnover (P1.T15),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0104,4,02:30,BOS,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,119,235,26,1,3.0,0.0,v
S2425-G0104,4,02:00,BOS,118.0,MIL,103.0,M. Beauchamp,MIL,Beauchamp 25' 3PT Jump Shot (3 PTS) (Jackson Jr. 1 AST),Made Shot,Jump Shot,199,157,25,1,3.0,3.0,v
S2425-G0104,4,01:49,BOS,,MIL,,M. Beauchamp,MIL,Beauchamp S.FOUL (P1.PN) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2425-G0098,4,03:15,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp OFF.Foul (P1) (M.Dagher),Foul,Offensive,0,0,0,0,,,v
S2425-G0098,4,03:15,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp Offensive Foul Turnover (P1.T17),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0098,4,03:02,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp S.FOUL (P2.PN) (Z.Zarba),Foul,Shooting,0,0,0,0,,,v
S2425-G0098,4,02:53,BKN,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 26' 3PT Jump Shot,Missed Shot,Jump Shot,-152,205,26,1,3.0,0.0,v
S2425-G0098,4,01:24,BKN,111.0,MIL,97.0,M. Beauchamp,MIL,Beauchamp Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0098,4,01:24,BKN,111.0,MIL,98.0,M. Beauchamp,MIL,Beauchamp Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0098,4,01:22,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0098,4,01:22,BKN,111.0,MIL,100.0,M. Beauchamp,MIL,Beauchamp 2' Driving Dunk (4 PTS),Made Shot,Driving Dunk Shot,-1,24,2,1,2.0,2.0,v
S2425-G0098,4,01:02,BKN,,MIL,,M. Beauchamp,MIL,MISS Beauchamp 2' Running Dunk,Missed Shot,Running Dunk Shot,0,20,2,1,2.0,0.0,v
S2425-G0098,4,00:44.200000,BKN,,MIL,,M. Beauchamp,MIL,Beauchamp Out of Bounds Lost Ball Turnover (P2.T18),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
