game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,02:38,PHI,,MIL,,P. Connaughton,MIL,Connaughton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,02:07,PHI,,MIL,,P. Connaughton,MIL,Connaughton REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,00:24.500000,PHI,,MIL,,P. Connaughton,MIL,MISS Connaughton 24' 3PT Jump Shot,Missed Shot,Jump Shot,238,47,24,1,3.0,0.0,v
S2425-G0066,2,11:34,PHI,,MIL,,P. Connaughton,MIL,Connaughton L.B.FOUL (P1.T1) (M.Kogut),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0066,2,10:04,PHI,25.0,MIL,27.0,P. Connaughton,MIL,Connaughton 26' 3PT Jump Shot (3 PTS) (Antetokounmpo 3 AST),Made Shot,Jump Shot,70,253,26,1,3.0,3.0,v
S2425-G0066,2,09:15,PHI,27.0,MIL,29.0,P. Connaughton,MIL,Connaughton 5' Driving Layup (5 PTS) (Antetokounmpo 4 AST),Made Shot,Driving Layup Shot,40,23,5,1,2.0,2.0,v
S2425-G0066,2,08:09,PHI,,MIL,,P. Connaughton,MIL,MISS Connaughton 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,15,11,2,1,2.0,0.0,v
S2425-G0066,2,07:41,PHI,31.0,MIL,33.0,P. Connaughton,MIL,Connaughton 2' Cutting Dunk Shot (7 PTS) (Portis 1 AST),Made Shot,Cutting Dunk Shot,12,11,2,1,2.0,2.0,v
S2425-G0066,2,07:04,PHI,,MIL,,P. Connaughton,MIL,Connaughton BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0066,2,05:46,PHI,,MIL,,P. Connaughton,MIL,SUB: Prince FOR Connaughton,Substitution,,0,0,0,0,,,v
S2425-G0066,3,03:35,PHI,,MIL,,P. Connaughton,MIL,Connaughton REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,02:18,PHI,,MIL,,P. Connaughton,MIL,MISS Connaughton 24' 3PT Jump Shot,Missed Shot,Jump Shot,-212,108,24,1,3.0,0.0,v
S2425-G0066,4,09:25,PHI,,MIL,,P. Connaughton,MIL,Connaughton REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,4,09:19,PHI,,MIL,,P. Connaughton,MIL,MISS Connaughton 24' 3PT Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,240,35,24,1,3.0,0.0,v
S2425-G0066,4,08:33,PHI,,MIL,,P. Connaughton,MIL,MISS Connaughton 26' 3PT Jump Shot,Missed Shot,Jump Shot,249,58,26,1,3.0,0.0,v
