game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,09:38,PHI,,MIL,,T. Prince,MIL,Prince Violation:Kicked Ball (S.Foster),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0066,1,05:14,PHI,,MIL,,T. Prince,MIL,Prince REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,03:46,PHI,,MIL,,T. Prince,MIL,SUB: Connaughton FOR Prince,Substitution,,0,0,0,0,,,v
S2425-G0066,2,05:25,PHI,,MIL,,T. Prince,MIL,Prince REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,04:10,PHI,37.0,MIL,43.0,T. Prince,MIL,Prince 2' Layup (2 PTS) (Portis 3 AST),Made Shot,Layup Shot,-9,23,2,1,2.0,2.0,v
S2425-G0066,2,03:32,PHI,,MIL,,T. Prince,MIL,Prince REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,2,03:25,PHI,37.0,MIL,48.0,T. Prince,MIL,Prince 25' 3PT Jump Shot (5 PTS) (Lillard 1 AST),Made Shot,Jump Shot,239,67,25,1,3.0,3.0,v
S2425-G0066,2,02:49,PHI,39.0,MIL,51.0,T. Prince,MIL,Prince 3PT Jump Shot (8 PTS) (Lopez 1 AST),Made Shot,Jump Shot,-227,0,0,1,3.0,3.0,v
S2425-G0066,2,01:54,PHI,,MIL,,T. Prince,MIL,Prince S.FOUL (P1.T2) (S.Foster),Foul,Shooting,0,0,0,0,,,v
S2425-G0066,2,00:25.200000,PHI,,MIL,,T. Prince,MIL,Prince REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,11:45,PHI,47.0,MIL,61.0,T. Prince,MIL,Prince 25' 3PT Jump Shot (11 PTS) (Antetokounmpo 5 AST),Made Shot,Jump Shot,53,243,25,1,3.0,3.0,v
S2425-G0066,3,10:27,PHI,53.0,MIL,67.0,T. Prince,MIL,Prince 24' 3PT Pullup Jump Shot (14 PTS) (Lillard 2 AST),Made Shot,Pullup Jump shot,230,74,24,1,3.0,3.0,v
S2425-G0066,3,06:10,PHI,,MIL,,T. Prince,MIL,Prince REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,3,05:35,PHI,64.0,MIL,82.0,T. Prince,MIL,Prince 3' Cutting Layup Shot (16 PTS) (Antetokounmpo 7 AST),Made Shot,Cutting Layup Shot,23,-12,3,1,2.0,2.0,v
S2425-G0066,3,05:08,PHI,,MIL,,T. Prince,MIL,Prince P.FOUL (P2.PN) (M.Kogut),Foul,Personal,0,0,0,0,,,v
S2425-G0066,3,04:47,PHI,,MIL,,T. Prince,MIL,SUB: Connaughton FOR Prince,Substitution,,0,0,0,0,,,v
S2425-G0066,4,09:29,PHI,,MIL,,T. Prince,MIL,MISS Prince 26' 3PT Jump Shot,Missed Shot,Jump Shot,164,198,26,1,3.0,0.0,v
S2425-G0066,4,07:42,PHI,,MIL,,T. Prince,MIL,SUB: Trent Jr. FOR Prince,Substitution,,0,0,0,0,,,v
S2425-G0066,4,01:06,PHI,,MIL,,T. Prince,MIL,SUB: Johnson FOR Prince,Substitution,,0,0,0,0,,,v
S2425-G0083,1,11:15,MIL,3.0,CHI,2.0,T. Prince,MIL,Prince 3PT Jump Shot (3 PTS) (Trent Jr. 1 AST),Made Shot,Jump Shot,-233,2,0,1,3.0,3.0,h
S2425-G0083,1,10:58,MIL,,CHI,,T. Prince,MIL,Prince REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0083,1,10:23,MIL,,CHI,,T. Prince,MIL,Prince S.FOUL (P1.T1) (M.Davis),Foul,Shooting,0,0,0,0,,,h
