game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,2,03:10,LAL,,MIN,,J. Ingles,MIN,MISS Ingles 27' 3PT Jump Shot,Missed Shot,Jump Shot,202,174,27,1,3.0,0.0,v
S2425-G0062,2,00:44.600000,LAL,,MIN,,J. Ingles,MIN,Ingles P.FOUL (P1.PN) (J.Williams),Foul,Personal,0,0,0,0,,,v
S2425-G0093,1,01:28,MIN,,TOR,,J. Ingles,MIN,Ingles REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0093,1,00:42.300000,MIN,,TOR,,J. Ingles,MIN,Ingles P.FOUL (P1.PN) (C.Blair),Foul,Personal,0,0,0,0,,,h
S2425-G0093,2,06:06,MIN,,TOR,,J. Ingles,MIN,Ingles S.FOUL (P2.T2) (D.Scott),Foul,Shooting,0,0,0,0,,,h
S2425-G0093,2,02:50,MIN,,TOR,,J. Ingles,MIN,Ingles P.FOUL (P3.T3) (D.Scott),Foul,Personal,0,0,0,0,,,h
S2425-G0093,2,02:50,MIN,,TOR,,J. Ingles,MIN,SUB: DiVincenzo FOR Ingles,Substitution,,0,0,0,0,,,h
S2425-G0114,2,03:48,MIN,,DAL,,J. Ingles,MIN,MISS Ingles 3PT Jump Shot,Missed Shot,Jump Shot,229,37,0,1,3.0,0.0,h
S2425-G0114,2,03:31,MIN,,DAL,,J. Ingles,MIN,SUB: Gobert FOR Ingles,Substitution,,0,0,0,0,,,h
S2425-G0076,2,10:47,SAC,,MIN,,J. Ingles,MIN,Ingles S.FOUL (P1.T1) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,v
S2425-G0076,2,09:18,SAC,,MIN,,J. Ingles,MIN,SUB: McDaniels FOR Ingles,Substitution,,0,0,0,0,,,v
