game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,08:10,LAL,,MIN,,J. Randle,MIN,MISS Randle 1' Running Layup,Missed Shot,Running Layup Shot,0,10,1,1,2.0,0.0,v
S2425-G0062,1,07:37,LAL,,MIN,,J. Randle,MIN,Randle REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,1,07:25,LAL,,MIN,,J. Randle,MIN,Randle Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0062,1,06:06,LAL,,MIN,,J. Randle,MIN,SUB: Reid FOR Randle,Substitution,,0,0,0,0,,,v
S2425-G0062,1,01:14,LAL,,MIN,,J. Randle,MIN,Randle REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,11:14,LAL,24.0,MIN,26.0,J. Randle,MIN,Randle 26' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,61,256,26,1,3.0,3.0,v
S2425-G0062,2,09:09,LAL,,MIN,,J. Randle,MIN,Randle Offensive Charge Foul (P1) (J.Williams),Foul,Offensive Charge,0,0,0,0,,,v
S2425-G0062,2,09:09,LAL,,MIN,,J. Randle,MIN,Randle Offensive Foul Turnover (P2.T8),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0062,2,08:33,LAL,,MIN,,J. Randle,MIN,SUB: Gobert FOR Randle,Substitution,,0,0,0,0,,,v
S2425-G0062,2,03:42,LAL,51.0,MIN,37.0,J. Randle,MIN,Randle 7' Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-2,68,7,1,2.0,2.0,v
S2425-G0062,2,01:35,LAL,,MIN,,J. Randle,MIN,Randle REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,01:03,LAL,,MIN,,J. Randle,MIN,Randle REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,2,00:53.900000,LAL,,MIN,,J. Randle,MIN,MISS Randle 27' 3PT Jump Shot,Missed Shot,Jump Shot,-83,257,27,1,3.0,0.0,v
S2425-G0062,3,10:06,LAL,,MIN,,J. Randle,MIN,Randle S.FOUL (P2.T1) (N.Buchert),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,3,09:09,LAL,,MIN,,J. Randle,MIN,MISS Randle 24' 3PT Jump Shot,Missed Shot,Jump Shot,230,54,24,1,3.0,0.0,v
S2425-G0062,3,06:17,LAL,,MIN,,J. Randle,MIN,MISS Randle Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0062,3,06:17,LAL,66.0,MIN,54.0,J. Randle,MIN,Randle Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,3,05:29,LAL,,MIN,,J. Randle,MIN,SUB: Reid FOR Randle,Substitution,,0,0,0,0,,,v
S2425-G0062,3,02:43,LAL,,MIN,,J. Randle,MIN,MISS Randle 13' Jump Shot,Missed Shot,Jump Shot,56,115,13,1,2.0,0.0,v
S2425-G0062,3,02:30,LAL,,MIN,,J. Randle,MIN,Randle REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,01:51,LAL,80.0,MIN,69.0,J. Randle,MIN,Randle 1' Floating Jump Shot (8 PTS),Made Shot,Floating Jump shot,-4,10,1,1,2.0,2.0,v
S2425-G0062,3,00:49.500000,LAL,,MIN,,J. Randle,MIN,Randle REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,00:49.500000,LAL,82.0,MIN,72.0,J. Randle,MIN,Randle Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
