game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,05:02,LAL,,MIN,,N. Reid,MIN,Reid REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,1,04:55,LAL,,MIN,,N. Reid,MIN,Reid Out of Bounds - Bad Pass Turnover Turnover (P1.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0062,1,04:32,LAL,,MIN,,N. Reid,MIN,Reid REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,1,02:12,LAL,,MIN,,N. Reid,MIN,Reid S.FOUL (P1.T2) (J.Williams),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,1,01:33,LAL,,MIN,,N. Reid,MIN,Reid REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,1,00:49.700000,LAL,22.0,MIN,21.0,N. Reid,MIN,Reid 27' 3PT Jump Bank Shot (3 PTS) (DiVincenzo 3 AST),Made Shot,Jump Bank Shot,21,272,27,1,3.0,3.0,v
S2425-G0062,2,09:35,LAL,,MIN,,N. Reid,MIN,MISS Reid 9' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,91,9,9,1,2.0,0.0,v
S2425-G0062,2,08:39,LAL,,MIN,,N. Reid,MIN,MISS Reid 2' Driving Layup,Missed Shot,Driving Layup Shot,13,10,2,1,2.0,0.0,v
S2425-G0062,2,04:55,LAL,,MIN,,N. Reid,MIN,MISS Reid 24' 3PT Jump Shot,Missed Shot,Jump Shot,237,40,24,1,3.0,0.0,v
S2425-G0062,2,04:39,LAL,,MIN,,N. Reid,MIN,SUB: Alexander-Walker FOR Reid,Substitution,,0,0,0,0,,,v
S2425-G0062,3,04:17,LAL,70.0,MIN,60.0,N. Reid,MIN,Reid Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,3,04:17,LAL,70.0,MIN,61.0,N. Reid,MIN,Reid Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,3,00:15.600000,LAL,,MIN,,N. Reid,MIN,MISS Reid 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-21,33,4,1,2.0,0.0,v
S2425-G0062,3,00:13.500000,LAL,,MIN,,N. Reid,MIN,Reid REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0062,3,00:13.400000,LAL,82.0,MIN,74.0,N. Reid,MIN,Reid 1' Putback Layup (7 PTS),Made Shot,Putback Layup Shot,5,11,1,1,2.0,2.0,v
S2425-G0062,4,11:48,LAL,82.0,MIN,75.0,N. Reid,MIN,Reid Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,4,11:48,LAL,82.0,MIN,76.0,N. Reid,MIN,Reid Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0062,4,10:38,LAL,85.0,MIN,81.0,N. Reid,MIN,Reid 24' 3PT Running Jump Shot (12 PTS) (McDaniels 1 AST),Made Shot,Running Jump Shot,223,99,24,1,3.0,3.0,v
S2425-G0062,4,07:09,LAL,,MIN,,N. Reid,MIN,Reid S.FOUL (P2.PN) (J.Williams),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,4,05:31,LAL,,MIN,,N. Reid,MIN,Reid S.FOUL (P3.PN) (N.Buchert),Foul,Shooting,0,0,0,0,,,v
S2425-G0062,4,05:02,LAL,,MIN,,N. Reid,MIN,SUB: Gobert FOR Reid,Substitution,,0,0,0,0,,,v
S2425-G0062,4,00:25.400000,LAL,,MIN,,N. Reid,MIN,MISS Reid 26' 3PT Jump Shot,Missed Shot,Jump Shot,-48,254,26,1,3.0,0.0,v
S2425-G0093,1,04:04,MIN,,TOR,,N. Reid,MIN,MISS Reid 3PT Running Jump Shot,Missed Shot,Running Jump Shot,230,29,0,1,3.0,0.0,h
S2425-G0093,1,03:48,MIN,,TOR,,N. Reid,MIN,Reid REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0093,1,02:53,MIN,,TOR,,N. Reid,MIN,MISS Reid 7' Driving Layup,Missed Shot,Driving Layup Shot,61,31,7,1,2.0,0.0,h
S2425-G0093,2,09:21,MIN,,TOR,,N. Reid,MIN,MISS Reid 26' 3PT Jump Shot,Missed Shot,Jump Shot,6,256,26,1,3.0,0.0,h
S2425-G0093,2,08:52,MIN,,TOR,,N. Reid,MIN,Reid REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0093,2,08:51,MIN,37.0,TOR,22.0,N. Reid,MIN,Reid 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-6,12,1,1,2.0,2.0,h
S2425-G0093,2,08:25,MIN,,TOR,,N. Reid,MIN,SUB: Edwards FOR Reid,Substitution,,0,0,0,0,,,h
S2425-G0093,2,03:22,MIN,48.0,TOR,33.0,N. Reid,MIN,Reid Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0093,2,03:22,MIN,49.0,TOR,33.0,N. Reid,MIN,Reid Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0093,2,02:23,MIN,,TOR,,N. Reid,MIN,MISS Reid 4' Layup,Missed Shot,Layup Shot,31,18,4,1,2.0,0.0,h
