game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0116,1,10:43,GSW,,NOP,,C. McCollum,NOP,McCollum REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,1,08:29,GSW,,NOP,,C. McCollum,NOP,McCollum BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0116,1,07:30,GSW,,NOP,,C. McCollum,NOP,McCollum Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0116,1,07:05,GSW,,NOP,,C. McCollum,NOP,MISS McCollum 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-56,265,27,1,3.0,0.0,v
S2425-G0116,1,06:20,GSW,,NOP,,C. McCollum,NOP,McCollum REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,1,04:35,GSW,14.0,NOP,20.0,C. McCollum,NOP,McCollum 7' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,-37,65,7,1,2.0,2.0,v
S2425-G0116,1,04:25,GSW,,NOP,,C. McCollum,NOP,McCollum REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,1,04:15,GSW,14.0,NOP,23.0,C. McCollum,NOP,McCollum 27' 3PT Jump Shot (5 PTS) (Theis 2 AST),Made Shot,Jump Shot,-49,267,27,1,3.0,3.0,v
S2425-G0116,1,03:28,GSW,,NOP,,C. McCollum,NOP,McCollum REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,1,02:59,GSW,,NOP,,C. McCollum,NOP,SUB: Alvarado FOR McCollum,Substitution,,0,0,0,0,,,v
S2425-G0116,1,00:02.400000,GSW,,NOP,,C. McCollum,NOP,McCollum Lost Ball Turnover (P2.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0116,2,08:15,GSW,,NOP,,C. McCollum,NOP,McCollum BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0116,2,08:10,GSW,,NOP,,C. McCollum,NOP,McCollum REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,2,08:09,GSW,,NOP,,C. McCollum,NOP,McCollum Lost Ball Turnover (P3.T10),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0116,2,05:51,GSW,,NOP,,C. McCollum,NOP,MISS McCollum 27' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,103,254,27,1,3.0,0.0,v
