game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0116,1,09:22,GSW,,NOP,,H. Jones,NOP,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,1,08:48,GSW,,NOP,,H. Jones,NOP,Jones STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0116,1,05:12,GSW,12.0,NOP,18.0,H. Jones,NOP,Jones 5' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-39,32,5,1,2.0,2.0,v
S2425-G0116,1,01:11,GSW,,NOP,,H. Jones,NOP,SUB: Green FOR Jones,Substitution,,0,0,0,0,,,v
S2425-G0116,2,05:52,GSW,,NOP,,H. Jones,NOP,Jones REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,2,02:19,GSW,,NOP,,H. Jones,NOP,Jones Bad Pass Turnover (P1.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0116,2,01:18,GSW,,NOP,,H. Jones,NOP,MISS Jones 3PT Jump Shot,Missed Shot,Jump Shot,-222,17,0,1,3.0,0.0,v
S2425-G0116,2,00:50.400000,GSW,,NOP,,H. Jones,NOP,Jones REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,3,10:21,GSW,54.0,NOP,59.0,H. Jones,NOP,Jones 3PT Jump Shot (5 PTS) (Ingram 1 AST),Made Shot,Jump Shot,-225,-13,0,1,3.0,3.0,v
S2425-G0116,3,09:47,GSW,,NOP,,H. Jones,NOP,SUB: Green FOR Jones,Substitution,,0,0,0,0,,,v
S2425-G0069,1,09:38,NOP,,CHI,,H. Jones,NOP,Jones S.FOUL (P1.T1) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2425-G0069,1,08:43,NOP,8.0,CHI,7.0,H. Jones,NOP,Jones 1' Layup (2 PTS) (Murray 2 AST),Made Shot,Layup Shot,-11,-4,1,1,2.0,2.0,h
S2425-G0069,1,07:41,NOP,,CHI,,H. Jones,NOP,MISS Jones 25' 3PT Jump Shot,Missed Shot,Jump Shot,-151,199,25,1,3.0,0.0,h
S2425-G0069,1,06:51,NOP,,CHI,,H. Jones,NOP,Jones REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
