game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,11:27,NYK,,IND,,O. Anunoby,NYK,Anunoby Violation:Kicked Ball (J.DeRosa),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0081,1,10:22,NYK,2.0,IND,2.0,O. Anunoby,NYK,Anunoby 5' Fadeaway Bank Shot (2 PTS),Made Shot,Fadeaway Bank shot,-47,25,5,1,2.0,2.0,h
S2425-G0081,1,08:57,NYK,,IND,,O. Anunoby,NYK,Anunoby P.FOUL (P1.T2) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2425-G0081,1,08:31,NYK,,IND,,O. Anunoby,NYK,MISS Anunoby 1' Driving Layup,Missed Shot,Driving Layup Shot,-2,-8,1,1,2.0,0.0,h
S2425-G0081,1,06:10,NYK,,IND,,O. Anunoby,NYK,MISS Anunoby Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0081,1,06:10,NYK,10.0,IND,10.0,O. Anunoby,NYK,Anunoby Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0081,1,03:31,NYK,,IND,,O. Anunoby,NYK,Anunoby Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0081,1,02:58,NYK,,IND,,O. Anunoby,NYK,Anunoby REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,01:16,NYK,24.0,IND,20.0,O. Anunoby,NYK,Anunoby 26' 3PT Jump Shot (6 PTS) (Bridges 2 AST),Made Shot,Jump Shot,212,142,26,1,3.0,3.0,h
S2425-G0081,2,07:15,NYK,38.0,IND,35.0,O. Anunoby,NYK,Anunoby 1' Driving Layup (8 PTS),Made Shot,Driving Layup Shot,6,0,1,1,2.0,2.0,h
S2425-G0081,2,06:28,NYK,,IND,,O. Anunoby,NYK,Anunoby S.FOUL (P2.T3) (J.DeRosa),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,2,05:58,NYK,,IND,,O. Anunoby,NYK,Anunoby REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,02:55,NYK,,IND,,O. Anunoby,NYK,MISS Anunoby 3' Driving Layup,Missed Shot,Driving Layup Shot,-7,34,3,1,2.0,0.0,h
S2425-G0081,2,02:27,NYK,52.0,IND,41.0,O. Anunoby,NYK,Anunoby 2' Running Dunk (10 PTS),Made Shot,Running Dunk Shot,-17,15,2,1,2.0,2.0,h
S2425-G0081,2,01:09,NYK,,IND,,O. Anunoby,NYK,Anunoby REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,2,00:44.900000,NYK,,IND,,O. Anunoby,NYK,Anunoby REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,3,10:49,NYK,,IND,,O. Anunoby,NYK,MISS Anunoby Driving Dunk,Missed Shot,Driving Dunk Shot,-2,4,0,1,2.0,0.0,h
S2425-G0081,3,09:26,NYK,,IND,,O. Anunoby,NYK,MISS Anunoby 3PT Jump Shot,Missed Shot,Jump Shot,228,17,0,1,3.0,0.0,h
S2425-G0081,3,08:48,NYK,,IND,,O. Anunoby,NYK,Anunoby STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0081,3,08:44,NYK,67.0,IND,49.0,O. Anunoby,NYK,Anunoby 1' Running Layup (12 PTS),Made Shot,Running Layup Shot,4,9,1,1,2.0,2.0,h
