game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,01:25,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,00:48.800000,DEN,,OKC,,A. Caruso,OKC,Caruso S.FOUL (P1.PN) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,2,10:58,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,10:18,DEN,,OKC,,A. Caruso,OKC,MISS Caruso 25' 3PT Jump Shot,Missed Shot,Jump Shot,174,185,25,1,3.0,0.0,v
S2425-G0075,2,09:57,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,09:56,DEN,,OKC,,A. Caruso,OKC,MISS Caruso 1' Putback Layup,Missed Shot,Putback Layup Shot,-1,6,1,1,2.0,0.0,v
S2425-G0075,2,09:41,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,06:46,DEN,,OKC,,A. Caruso,OKC,SUB: Dort FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0075,3,01:55,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,01:40,DEN,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,10:41,DEN,,OKC,,A. Caruso,OKC,Caruso Bad Pass Turnover (P1.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0075,4,09:16,DEN,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P2.T1) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0075,4,07:52,DEN,,OKC,,A. Caruso,OKC,SUB: Wallace FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0091,1,03:07,CHI,,OKC,,A. Caruso,OKC,Caruso P.FOUL (P1.T3) (A.Nagy),Foul,Personal,0,0,0,0,,,v
S2425-G0091,1,01:35,CHI,,OKC,,A. Caruso,OKC,MISS Caruso 26' 3PT Jump Shot,Missed Shot,Jump Shot,-131,227,26,1,3.0,0.0,v
S2425-G0091,1,00:19.100000,CHI,,OKC,,A. Caruso,OKC,SUB: Mitchell FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0091,2,11:39,CHI,,OKC,,A. Caruso,OKC,MISS Caruso 1' Running Layup,Missed Shot,Running Layup Shot,9,11,1,1,2.0,0.0,v
S2425-G0091,2,10:10,CHI,,OKC,,A. Caruso,OKC,Caruso L.B.FOUL (P2.T2) (I.Hwang),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0091,2,07:56,CHI,31.0,OKC,35.0,A. Caruso,OKC,Caruso 26' 3PT Jump Shot (3 PTS) (Williams 5 AST),Made Shot,Jump Shot,-137,225,26,1,3.0,3.0,v
S2425-G0091,2,05:34,CHI,,OKC,,A. Caruso,OKC,SUB: Wiggins FOR Caruso,Substitution,,0,0,0,0,,,v
S2425-G0091,3,00:15,CHI,,OKC,,A. Caruso,OKC,Caruso BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0091,3,00:12.200000,CHI,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,4,11:33,CHI,,OKC,,A. Caruso,OKC,Caruso REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,4,10:02,CHI,,OKC,,A. Caruso,OKC,MISS Caruso 8' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-81,8,8,1,2.0,0.0,v
S2425-G0091,4,08:24,CHI,,OKC,,A. Caruso,OKC,Caruso STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0091,4,07:06,CHI,,OKC,,A. Caruso,OKC,Caruso STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0091,4,06:23,CHI,,OKC,,A. Caruso,OKC,Caruso BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0091,4,06:10,CHI,,OKC,,A. Caruso,OKC,MISS Caruso 24' 3PT Jump Shot,Missed Shot,Jump Shot,132,206,24,1,3.0,0.0,v
S2425-G0091,4,03:26,CHI,,OKC,,A. Caruso,OKC,Caruso S.FOUL (P3.T2) (I.Hwang),Foul,Shooting,0,0,0,0,,,v
S2425-G0091,4,03:12,CHI,,OKC,,A. Caruso,OKC,SUB: Flagler FOR Caruso,Substitution,,0,0,0,0,,,v
