game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,11:41,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 6' Floating Jump Shot,Missed Shot,Floating Jump shot,-44,38,6,1,2.0,0.0,v
S2425-G0075,1,11:38,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,11:37,DEN,,OKC,,C. Holmgren,OKC,Holmgren Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0075,1,10:19,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,09:18,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 24' 3PT Jump Shot,Missed Shot,Jump Shot,-238,10,24,1,3.0,0.0,v
S2425-G0075,1,07:28,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 26' 3PT Jump Shot,Missed Shot,Jump Shot,94,244,26,1,3.0,0.0,v
S2425-G0075,1,07:19,DEN,,OKC,,C. Holmgren,OKC,Holmgren STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0075,1,06:00,DEN,,OKC,,C. Holmgren,OKC,Holmgren BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0075,1,05:00,DEN,19.0,OKC,15.0,C. Holmgren,OKC,Holmgren 11' Pullup Jump Shot (2 PTS) (Gilgeous-Alexander 1 AST),Made Shot,Pullup Jump shot,-83,74,11,1,2.0,2.0,v
S2425-G0075,1,04:03,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,04:03,DEN,21.0,OKC,19.0,C. Holmgren,OKC,Holmgren 1' Putback Layup (4 PTS),Made Shot,Putback Layup Shot,4,13,1,1,2.0,2.0,v
S2425-G0075,1,04:03,DEN,21.0,OKC,20.0,C. Holmgren,OKC,Holmgren Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0075,1,02:34,DEN,,OKC,,C. Holmgren,OKC,SUB: Wiggins FOR Holmgren,Substitution,,0,0,0,0,,,v
S2425-G0075,2,07:51,DEN,32.0,OKC,42.0,C. Holmgren,OKC,Holmgren 12' Turnaround Jump Shot (7 PTS) (Mitchell 1 AST),Made Shot,Turnaround Jump Shot,-5,115,12,1,2.0,2.0,v
S2425-G0075,2,06:10,DEN,,OKC,,C. Holmgren,OKC,Holmgren S.FOUL (P1.T3) (K.Scott),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,2,05:14,DEN,,OKC,,C. Holmgren,OKC,Holmgren STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0075,2,04:04,DEN,42.0,OKC,48.0,C. Holmgren,OKC,Holmgren 3' Cutting Layup Shot (9 PTS) (Williams 3 AST),Made Shot,Cutting Layup Shot,4,26,3,1,2.0,2.0,v
S2425-G0075,2,04:04,DEN,42.0,OKC,49.0,C. Holmgren,OKC,Holmgren Free Throw 1 of 1 (10 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0075,2,02:56,DEN,45.0,OKC,54.0,C. Holmgren,OKC,Holmgren 3' Driving Layup (12 PTS),Made Shot,Driving Layup Shot,-23,12,3,1,2.0,2.0,v
S2425-G0075,2,02:56,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0075,2,02:06,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,02:03,DEN,,OKC,,C. Holmgren,OKC,Holmgren Lost Ball Turnover (P2.T7),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0075,2,01:45,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,01:03,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,11:17,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,10:14,DEN,56.0,OKC,63.0,C. Holmgren,OKC,Holmgren 1' Cutting Dunk Shot (14 PTS) (Gilgeous-Alexander 3 AST),Made Shot,Cutting Dunk Shot,-5,-11,1,1,2.0,2.0,v
S2425-G0075,3,09:43,DEN,56.0,OKC,65.0,C. Holmgren,OKC,Holmgren 1' Driving Reverse Layup (16 PTS) (Gilgeous-Alexander 4 AST),Made Shot,Driving Reverse Layup Shot,6,3,1,1,2.0,2.0,v
S2425-G0075,3,09:15,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 25' 3PT Jump Shot,Missed Shot,Jump Shot,-56,246,25,1,3.0,0.0,v
S2425-G0075,3,08:10,DEN,62.0,OKC,67.0,C. Holmgren,OKC,Holmgren 16' Pullup Jump Shot (18 PTS) (Gilgeous-Alexander 5 AST),Made Shot,Pullup Jump shot,-159,-5,16,1,2.0,2.0,v
S2425-G0075,3,07:24,DEN,,OKC,,C. Holmgren,OKC,Holmgren BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0075,3,06:31,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,05:52,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 25' 3PT Jump Shot,Missed Shot,Jump Shot,-196,155,25,1,3.0,0.0,v
S2425-G0075,3,05:33,DEN,,OKC,,C. Holmgren,OKC,Holmgren BLOCK (3 BLK),,,0,0,0,0,,,v
S2425-G0075,3,03:42,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0075,3,03:42,DEN,66.0,OKC,76.0,C. Holmgren,OKC,Holmgren Free Throw 2 of 2 (19 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0075,3,03:28,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,02:58,DEN,,OKC,,C. Holmgren,OKC,Holmgren BLOCK (4 BLK),,,0,0,0,0,,,v
S2425-G0075,3,02:51,DEN,66.0,OKC,80.0,C. Holmgren,OKC,Holmgren 1' Running Dunk (21 PTS) (Gilgeous-Alexander 7 AST),Made Shot,Running Dunk Shot,4,8,1,1,2.0,2.0,v
S2425-G0075,3,02:21,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-98,40,11,1,2.0,0.0,v
S2425-G0075,3,02:06,DEN,,OKC,,C. Holmgren,OKC,SUB: Wiggins FOR Holmgren,Substitution,,0,0,0,0,,,v
S2425-G0075,4,08:09,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,06:37,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,05:54,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 25' 3PT Jump Shot,Missed Shot,Jump Shot,71,242,25,1,3.0,0.0,v
S2425-G0075,4,05:48,DEN,,OKC,,C. Holmgren,OKC,Holmgren P.FOUL (P2.T2) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0075,4,04:13,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:9),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,03:58,DEN,80.0,OKC,100.0,C. Holmgren,OKC,Holmgren 11' Jump Shot (23 PTS) (Gilgeous-Alexander 8 AST),Made Shot,Jump Shot,36,106,11,1,2.0,2.0,v
S2425-G0075,4,02:13,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:3 Def:10),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,01:54,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:4 Def:10),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,4,01:54,DEN,87.0,OKC,102.0,C. Holmgren,OKC,Holmgren 1' Putback Layup (25 PTS),Made Shot,Putback Layup Shot,2,-12,1,1,2.0,2.0,v
S2425-G0075,4,01:11,DEN,,OKC,,C. Holmgren,OKC,SUB: Dieng FOR Holmgren,Substitution,,0,0,0,0,,,v
S2425-G0091,1,11:45,CHI,0.0,OKC,2.0,C. Holmgren,OKC,Holmgren Alley Oop Dunk (2 PTS) (Williams 1 AST),Made Shot,Alley Oop Dunk Shot,4,2,0,1,2.0,2.0,v
S2425-G0091,1,11:31,CHI,,OKC,,C. Holmgren,OKC,Thunder T.Foul (Def. 3 Sec Holmgren ) (J.Tiven),Foul,Defense 3 Second,0,0,0,0,,,v
S2425-G0091,1,11:16,CHI,,OKC,,C. Holmgren,OKC,MISS Holmgren 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-145,209,25,1,3.0,0.0,v
S2425-G0091,1,08:36,CHI,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,1,08:20,CHI,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,1,07:04,CHI,,OKC,,C. Holmgren,OKC,MISS Holmgren Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0091,1,07:04,CHI,7.0,OKC,12.0,C. Holmgren,OKC,Holmgren Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0091,1,05:50,CHI,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
