game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,06:12,DEN,,OKC,,C. Wallace,OKC,MISS Wallace 26' 3PT Jump Shot,Missed Shot,Jump Shot,135,222,26,1,3.0,0.0,v
S2425-G0075,1,04:06,DEN,,OKC,,C. Wallace,OKC,Wallace REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,04:05,DEN,,OKC,,C. Wallace,OKC,MISS Wallace Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0075,1,04:04,DEN,,OKC,,C. Wallace,OKC,Wallace REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,04:03,DEN,,OKC,,C. Wallace,OKC,MISS Wallace 3' Putback Layup,Missed Shot,Putback Layup Shot,-4,25,3,1,2.0,0.0,v
S2425-G0075,1,00:48.800000,DEN,,OKC,,C. Wallace,OKC,SUB: Joe FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0075,2,11:35,DEN,,OKC,,C. Wallace,OKC,MISS Wallace 3' Driving Layup,Missed Shot,Driving Layup Shot,12,32,3,1,2.0,0.0,v
S2425-G0075,2,09:59,DEN,,OKC,,C. Wallace,OKC,MISS Wallace 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-9,27,3,1,2.0,0.0,v
S2425-G0075,2,08:22,DEN,,OKC,,C. Wallace,OKC,SUB: Holmgren FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0075,3,06:23,DEN,64.0,OKC,73.0,C. Wallace,OKC,Wallace 1' Reverse Layup (2 PTS) (Gilgeous-Alexander 6 AST),Made Shot,Reverse Layup Shot,-12,3,1,1,2.0,2.0,v
S2425-G0075,3,04:09,DEN,,OKC,,C. Wallace,OKC,Wallace REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,02:56,DEN,,OKC,,C. Wallace,OKC,Wallace REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,02:36,DEN,,OKC,,C. Wallace,OKC,Wallace STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0075,3,02:00,DEN,,OKC,,C. Wallace,OKC,Wallace S.FOUL (P1.T3) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,3,01:10,DEN,66.0,OKC,85.0,C. Wallace,OKC,Wallace 1' Cutting Layup Shot (4 PTS) (Caruso 3 AST),Made Shot,Cutting Layup Shot,5,11,1,1,2.0,2.0,v
S2425-G0075,4,10:43,DEN,,OKC,,C. Wallace,OKC,SUB: Dort FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0075,4,07:39,DEN,,OKC,,C. Wallace,OKC,Wallace STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0075,4,05:48,DEN,,OKC,,C. Wallace,OKC,SUB: Williams FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0075,4,01:38,DEN,,OKC,,C. Wallace,OKC,SUB: Joe FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0091,1,10:57,CHI,,OKC,,C. Wallace,OKC,MISS Wallace 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-168,186,25,1,3.0,0.0,v
S2425-G0091,1,09:33,CHI,,OKC,,C. Wallace,OKC,Wallace STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0091,1,09:10,CHI,,OKC,,C. Wallace,OKC,MISS Wallace 3PT Jump Shot,Missed Shot,Jump Shot,227,-6,0,1,3.0,0.0,v
S2425-G0091,1,07:28,CHI,7.0,OKC,11.0,C. Wallace,OKC,Wallace Driving Dunk (2 PTS) (Williams 3 AST),Made Shot,Driving Dunk Shot,-2,-3,0,1,2.0,2.0,v
S2425-G0091,1,06:34,CHI,10.0,OKC,14.0,C. Wallace,OKC,Wallace 1' Driving Reverse Layup (4 PTS),Made Shot,Driving Reverse Layup Shot,-9,5,1,1,2.0,2.0,v
S2425-G0091,1,06:22,CHI,,OKC,,C. Wallace,OKC,Wallace REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0091,1,04:17,CHI,,OKC,,C. Wallace,OKC,Wallace REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
