game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,10:36,DEN,3.0,OKC,2.0,I. Joe,OKC,Joe 6' Floating Jump Shot (2 PTS) (Williams 1 AST),Made Shot,Floating Jump shot,60,1,6,1,2.0,2.0,v
S2425-G0075,1,08:24,DEN,,OKC,,I. Joe,OKC,MISS Joe 26' 3PT Jump Shot,Missed Shot,Jump Shot,-186,184,26,1,3.0,0.0,v
S2425-G0075,1,04:31,DEN,21.0,OKC,17.0,I. Joe,OKC,Joe 16' Step Back Jump Shot (4 PTS),Made Shot,Step Back Jump shot,-31,155,16,1,2.0,2.0,v
S2425-G0075,1,04:03,DEN,,OKC,,I. Joe,OKC,SUB: Caruso FOR Joe,Substitution,,0,0,0,0,,,v
S2425-G0075,2,03:37,DEN,45.0,OKC,52.0,I. Joe,OKC,Joe 26' 3PT Jump Shot (7 PTS) (Gilgeous-Alexander 2 AST),Made Shot,Jump Shot,-184,190,26,1,3.0,3.0,v
S2425-G0075,2,01:48,DEN,,OKC,,I. Joe,OKC,MISS Joe 27' 3PT Jump Shot,Missed Shot,Jump Shot,-195,180,27,1,3.0,0.0,v
S2425-G0075,2,01:42,DEN,,OKC,,I. Joe,OKC,MISS Joe 7' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-27,60,7,1,2.0,0.0,v
S2425-G0075,2,00:55.300000,DEN,,OKC,,I. Joe,OKC,MISS Joe 26' 3PT Jump Shot,Missed Shot,Jump Shot,64,256,26,1,3.0,0.0,v
S2425-G0075,2,00:55.300000,DEN,,OKC,,I. Joe,OKC,Joe REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,00:00.300000,DEN,,OKC,,I. Joe,OKC,MISS Joe 11' Floating Jump Shot,Missed Shot,Floating Jump shot,-107,25,11,1,2.0,0.0,v
S2425-G0075,3,11:09,DEN,,OKC,,I. Joe,OKC,MISS Joe 26' 3PT Jump Shot,Missed Shot,Jump Shot,147,216,26,1,3.0,0.0,v
S2425-G0075,3,07:15,DEN,,OKC,,I. Joe,OKC,Joe REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,05:33,DEN,,OKC,,I. Joe,OKC,SUB: Caruso FOR Joe,Substitution,,0,0,0,0,,,v
