game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,11:17,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-11,2,1,1,2.0,0.0,v
S2425-G0075,1,08:44,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,07:14,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,135,216,25,1,3.0,0.0,v
S2425-G0075,1,06:45,DEN,16.0,OKC,10.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 11' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,-26,106,11,1,2.0,2.0,v
S2425-G0075,1,05:48,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0075,1,05:47,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander P.FOUL (P1.PN) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0075,1,05:33,DEN,19.0,OKC,13.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 25' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,1,251,25,1,3.0,3.0,v
S2425-G0075,1,04:11,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0075,1,04:08,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 2' Running Layup,Missed Shot,Running Layup Shot,-12,11,2,1,2.0,0.0,v
S2425-G0075,1,02:58,DEN,23.0,OKC,25.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 2' Driving Finger Roll Layup (7 PTS),Made Shot,Driving Finger Roll Layup Shot,-21,11,2,1,2.0,2.0,v
S2425-G0075,1,02:34,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0075,1,02:34,DEN,23.0,OKC,26.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0075,1,02:13,DEN,,OKC,,S. Gilgeous-Alexander,OKC,SUB: Williams FOR Gilgeous-Alexander,Substitution,,0,0,0,0,,,v
S2425-G0075,2,07:02,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0075,2,06:57,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 3' Running Layup,Missed Shot,Running Layup Shot,-34,-3,3,1,2.0,0.0,v
S2425-G0075,2,06:55,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 12' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,53,110,12,1,2.0,0.0,v
S2425-G0075,2,06:46,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander S.FOUL (P2.T2) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,2,05:56,DEN,36.0,OKC,46.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 10' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,5,97,10,1,2.0,2.0,v
S2425-G0075,2,05:02,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 15' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-143,47,15,1,2.0,0.0,v
S2425-G0075,2,02:29,DEN,47.0,OKC,56.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 18' Pullup Jump Shot (12 PTS),Made Shot,Pullup Jump shot,98,154,18,1,2.0,2.0,v
S2425-G0075,2,00:56.300000,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,2,00:35.700000,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-125,221,25,1,3.0,0.0,v
S2425-G0075,3,11:37,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,11:36,DEN,51.0,OKC,61.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 26' 3PT Running Pull-Up Jump Shot (15 PTS),Made Shot,Running Pull-Up Jump Shot,-129,224,26,1,3.0,3.0,v
S2425-G0075,3,07:40,DEN,64.0,OKC,68.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0075,3,07:40,DEN,64.0,OKC,69.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0075,3,05:11,DEN,66.0,OKC,75.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 1' Driving Finger Roll Layup (19 PTS),Made Shot,Driving Finger Roll Layup Shot,5,10,1,1,2.0,2.0,v
S2425-G0075,3,04:47,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,04:25,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,137,59,15,1,2.0,0.0,v
S2425-G0075,3,03:46,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,3,03:18,DEN,66.0,OKC,78.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 4' Fadeaway Bank Shot (21 PTS),Made Shot,Fadeaway Bank shot,-39,-6,4,1,2.0,2.0,v
S2425-G0075,3,02:50,DEN,66.0,OKC,81.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander Free Throw Technical (22 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,v
S2425-G0075,3,02:07,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0075,3,01:43,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,108,127,17,1,2.0,0.0,v
S2425-G0075,3,01:35,DEN,66.0,OKC,83.0,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander 2' Driving Layup (24 PTS),Made Shot,Driving Layup Shot,18,4,2,1,2.0,2.0,v
S2425-G0075,3,01:15,DEN,,OKC,,S. Gilgeous-Alexander,OKC,Gilgeous-Alexander REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
