game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,04:15,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-225,136,26,1,3.0,0.0,v
S2425-G0065,1,03:24,MIA,,ORL,,C. Anthony,ORL,Anthony REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,00:40.800000,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 2' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,-17,16,2,1,2.0,0.0,v
S2425-G0065,1,00:13.200000,MIA,,ORL,,C. Anthony,ORL,SUB: Caldwell-Pope FOR Anthony,Substitution,,0,0,0,0,,,v
S2425-G0065,2,11:28,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-26,126,13,1,2.0,0.0,v
S2425-G0065,2,10:06,MIA,,ORL,,C. Anthony,ORL,Anthony REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,09:20,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 27' 3PT Jump Shot,Missed Shot,Jump Shot,-180,196,27,1,3.0,0.0,v
S2425-G0065,2,08:26,MIA,,ORL,,C. Anthony,ORL,SUB: Caldwell-Pope FOR Anthony,Substitution,,0,0,0,0,,,v
S2425-G0065,4,11:48,MIA,,ORL,,C. Anthony,ORL,Anthony S.FOUL (P1.T1) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,4,11:00,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 24' 3PT Jump Shot,Missed Shot,Jump Shot,-238,29,24,1,3.0,0.0,v
S2425-G0065,4,10:28,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-211,126,25,1,3.0,0.0,v
S2425-G0065,4,09:34,MIA,,ORL,,C. Anthony,ORL,Anthony Out of Bounds - Bad Pass Turnover Turnover (P1.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0065,4,09:00,MIA,,ORL,,C. Anthony,ORL,MISS Anthony 25' 3PT Jump Shot,Missed Shot,Jump Shot,-172,177,25,1,3.0,0.0,v
S2425-G0065,4,05:49,MIA,,ORL,,C. Anthony,ORL,Anthony REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,4,05:33,MIA,,ORL,,C. Anthony,ORL,Anthony Bad Pass Turnover (P2.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0065,4,05:21,MIA,,ORL,,C. Anthony,ORL,Anthony P.FOUL (P2.T3) (C.Blair),Foul,Personal,0,0,0,0,,,v
S2425-G0065,4,05:21,MIA,,ORL,,C. Anthony,ORL,SUB: Houstan FOR Anthony,Substitution,,0,0,0,0,,,v
S2425-G0092,1,02:23,MEM,,ORL,,C. Anthony,ORL,Anthony STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0092,1,02:19,MEM,,ORL,,C. Anthony,ORL,Anthony Out of Bounds - Bad Pass Turnover Turnover (P1.T7),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0092,1,00:36.700000,MEM,34.0,ORL,22.0,C. Anthony,ORL,Anthony 10' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,89,36,10,1,2.0,2.0,v
S2425-G0092,1,00:04.100000,MEM,,ORL,,C. Anthony,ORL,SUB: Suggs FOR Anthony,Substitution,,0,0,0,0,,,v
S2425-G0092,2,09:56,MEM,,ORL,,C. Anthony,ORL,Anthony Lost Ball Turnover (P2.T8),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0092,2,09:55,MEM,,ORL,,C. Anthony,ORL,SUB: F. Wagner FOR Anthony,Substitution,,0,0,0,0,,,v
S2425-G0092,4,10:53,MEM,,ORL,,C. Anthony,ORL,Anthony P.FOUL (P1.T2) (J.Capers),Foul,Personal,0,0,0,0,,,v
S2425-G0092,4,10:31,MEM,94.0,ORL,82.0,C. Anthony,ORL,Anthony 7' Turnaround Fadeaway (4 PTS),Made Shot,Turnaround Fadeaway shot,1,74,7,1,2.0,2.0,v
