game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,10:49,MIA,,ORL,,F. Wagner,ORL,MISS F. Wagner 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-17,17,2,1,2.0,0.0,v
S2425-G0065,1,09:42,MIA,,ORL,,F. Wagner,ORL,F. Wagner S.FOUL (P1.T2) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,1,09:22,MIA,4.0,ORL,6.0,F. Wagner,ORL,F. Wagner 5' Driving Bank Hook Shot (2 PTS),Made Shot,Driving Bank Hook Shot,50,18,5,1,2.0,2.0,v
S2425-G0065,1,08:47,MIA,,ORL,,F. Wagner,ORL,F. Wagner REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,08:43,MIA,6.0,ORL,9.0,F. Wagner,ORL,F. Wagner 14' Jump Shot (4 PTS),Made Shot,Jump Shot,-109,90,14,1,2.0,2.0,v
S2425-G0065,1,07:50,MIA,,ORL,,F. Wagner,ORL,MISS F. Wagner 2' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,21,10,2,1,2.0,0.0,v
S2425-G0065,1,07:43,MIA,,ORL,,F. Wagner,ORL,F. Wagner S.FOUL (P2.T4) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,1,06:45,MIA,,ORL,,F. Wagner,ORL,SUB: Harris FOR F. Wagner,Substitution,,0,0,0,0,,,v
S2425-G0065,2,07:45,MIA,,ORL,,F. Wagner,ORL,MISS F. Wagner 3' Driving Layup,Missed Shot,Driving Layup Shot,10,26,3,1,2.0,0.0,v
S2425-G0065,2,07:26,MIA,,ORL,,F. Wagner,ORL,F. Wagner REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,05:14,MIA,,ORL,,F. Wagner,ORL,MISS F. Wagner 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-175,196,26,1,3.0,0.0,v
S2425-G0065,2,03:48,MIA,49.0,ORL,49.0,F. Wagner,ORL,F. Wagner 3PT Jump Shot (7 PTS) (Caldwell-Pope 1 AST),Made Shot,Jump Shot,-233,-4,0,1,3.0,3.0,v
