game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,05:24,MIA,19.0,ORL,14.0,G. Harris,ORL,Harris 3PT Jump Shot (3 PTS) (Black 1 AST),Made Shot,Jump Shot,225,-5,0,1,3.0,3.0,v
S2425-G0065,1,03:29,MIA,,ORL,,G. Harris,ORL,Harris BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0065,1,03:07,MIA,,ORL,,G. Harris,ORL,Harris P.FOUL (P1.PN) (J.Butler),Foul,Personal,0,0,0,0,,,v
S2425-G0065,1,02:28,MIA,,ORL,,G. Harris,ORL,MISS Harris 26' 3PT Jump Shot,Missed Shot,Jump Shot,-230,111,26,1,3.0,0.0,v
S2425-G0065,1,02:16,MIA,28.0,ORL,29.0,G. Harris,ORL,Harris 3PT Jump Shot (6 PTS) (Anthony 3 AST),Made Shot,Jump Shot,-234,21,0,1,3.0,3.0,v
S2425-G0065,1,01:56,MIA,,ORL,,G. Harris,ORL,Harris BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0065,1,01:18,MIA,30.0,ORL,32.0,G. Harris,ORL,Harris 24' 3PT Jump Shot (9 PTS) (M. Wagner 1 AST),Made Shot,Jump Shot,234,23,24,1,3.0,3.0,v
S2425-G0065,2,11:50,MIA,,ORL,,G. Harris,ORL,Harris Backcourt Turnover (P1.T3),Turnover,Backcourt Turnover,0,0,0,0,,,v
S2425-G0065,2,10:56,MIA,34.0,ORL,35.0,G. Harris,ORL,Harris 26' 3PT Jump Shot (12 PTS) (M. Wagner 2 AST),Made Shot,Jump Shot,-162,197,26,1,3.0,3.0,v
S2425-G0065,2,09:17,MIA,,ORL,,G. Harris,ORL,SUB: F. Wagner FOR Harris,Substitution,,0,0,0,0,,,v
S2425-G0065,2,04:00,MIA,,ORL,,G. Harris,ORL,Harris REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,00:01.100000,MIA,54.0,ORL,58.0,G. Harris,ORL,Harris 28' 3PT Step Back Jump Shot (15 PTS) (Black 2 AST),Made Shot,Step Back Jump shot,-158,226,28,1,3.0,3.0,v
S2425-G0065,3,03:03,MIA,,ORL,,G. Harris,ORL,Harris REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,02:42,MIA,64.0,ORL,92.0,G. Harris,ORL,Harris 24' 3PT Jump Shot (18 PTS) (Banchero 3 AST),Made Shot,Jump Shot,-206,129,24,1,3.0,3.0,v
