game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,10:30,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,08:53,MIA,6.0,ORL,7.0,W. Carter Jr.,ORL,Carter Jr. Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0065,1,08:53,MIA,,ORL,,W. Carter Jr.,ORL,MISS Carter Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0065,1,07:22,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,07:20,MIA,,ORL,,W. Carter Jr.,ORL,MISS Carter Jr. 3' Layup,Missed Shot,Layup Shot,-32,8,3,1,2.0,0.0,v
S2425-G0065,1,04:39,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0065,1,04:18,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0065,1,04:15,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,1,03:59,MIA,21.0,ORL,22.0,W. Carter Jr.,ORL,Carter Jr. 26' 3PT Jump Shot (4 PTS) (Harris 1 AST),Made Shot,Jump Shot,219,144,26,1,3.0,3.0,v
S2425-G0065,1,03:33,MIA,,ORL,,W. Carter Jr.,ORL,MISS Carter Jr. 2' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-20,6,2,1,2.0,0.0,v
S2425-G0065,1,03:22,MIA,24.0,ORL,24.0,W. Carter Jr.,ORL,Carter Jr. 1' Running Dunk (6 PTS) (Banchero 1 AST),Made Shot,Running Dunk Shot,12,8,1,1,2.0,2.0,v
S2425-G0065,1,03:07,MIA,,ORL,,W. Carter Jr.,ORL,SUB: M. Wagner FOR Carter Jr.,Substitution,,0,0,0,0,,,v
S2425-G0065,2,06:56,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,06:31,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,06:28,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0065,2,05:22,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,04:48,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. S.FOUL (P1.T3) (C.Washington),Foul,Shooting,0,0,0,0,,,v
S2425-G0065,2,03:55,MIA,,ORL,,W. Carter Jr.,ORL,MISS Carter Jr. 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,224,123,26,1,3.0,0.0,v
S2425-G0065,2,02:02,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:3 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,01:40,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,2,00:18.400000,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,10:59,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. P.FOUL (P2.T1) (C.Blair),Foul,Personal,0,0,0,0,,,v
S2425-G0065,3,09:46,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,09:23,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:3 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,08:29,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:4 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,08:26,MIA,,ORL,,W. Carter Jr.,ORL,MISS Carter Jr. 2' Putback Layup,Missed Shot,Putback Layup Shot,-16,15,2,1,2.0,0.0,v
S2425-G0065,3,08:04,MIA,59.0,ORL,72.0,W. Carter Jr.,ORL,Carter Jr. 2' Cutting Dunk Shot (8 PTS) (Suggs 4 AST),Made Shot,Cutting Dunk Shot,-16,-4,2,1,2.0,2.0,v
S2425-G0065,3,06:58,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:4 Def:9),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,03:39,MIA,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:4 Def:10),Rebound,Unknown,0,0,0,0,,,v
S2425-G0065,3,02:24,MIA,,ORL,,W. Carter Jr.,ORL,SUB: Isaac FOR Carter Jr.,Substitution,,0,0,0,0,,,v
S2425-G0123,1,08:40,CHI,,ORL,,W. Carter Jr.,ORL,MISS Carter Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,-12,253,25,1,3.0,0.0,v
S2425-G0123,1,07:52,CHI,,ORL,,W. Carter Jr.,ORL,Carter Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0123,1,07:15,CHI,7.0,ORL,11.0,W. Carter Jr.,ORL,Carter Jr. 14' Turnaround Fadeaway Bank Jump Shot (2 PTS) (Banchero 3 AST),Made Shot,Turnaround Fadeaway Bank Jump Shot,-140,29,14,1,2.0,2.0,v
S2425-G0123,1,04:58,CHI,9.0,ORL,22.0,W. Carter Jr.,ORL,Carter Jr. 1' Driving Dunk (4 PTS) (Suggs 1 AST),Made Shot,Driving Dunk Shot,-6,-1,1,1,2.0,2.0,v
S2425-G0123,1,04:18,CHI,9.0,ORL,26.0,W. Carter Jr.,ORL,Carter Jr. 1' Running Dunk (6 PTS) (Suggs 2 AST),Made Shot,Running Dunk Shot,7,7,1,1,2.0,2.0,v
S2425-G0123,1,03:13,CHI,,ORL,,W. Carter Jr.,ORL,SUB: M. Wagner FOR Carter Jr.,Substitution,,0,0,0,0,,,v
