game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,10:52,TOR,4.0,PHI,3.0,K. Lowry,PHI,Lowry 24' 3PT Step Back Jump Shot (3 PTS) (Maxey 1 AST),Made Shot,Step Back Jump shot,228,82,24,1,3.0,3.0,v
S2425-G0078,1,09:49,TOR,,PHI,,K. Lowry,PHI,MISS Lowry 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-216,117,25,1,3.0,0.0,v
S2425-G0078,1,07:05,TOR,,PHI,,K. Lowry,PHI,Lowry S.FOUL (P1.T4) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,1,06:14,TOR,,PHI,,K. Lowry,PHI,SUB: K. Martin FOR Lowry,Substitution,,0,0,0,0,,,v
S2425-G0078,2,10:35,TOR,,PHI,,K. Lowry,PHI,Lowry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,2,09:53,TOR,36.0,PHI,38.0,K. Lowry,PHI,Lowry 26' 3PT Jump Shot (6 PTS) (C. Martin 2 AST),Made Shot,Jump Shot,-93,241,26,1,3.0,3.0,v
S2425-G0078,2,09:14,TOR,,PHI,,K. Lowry,PHI,Lowry S.FOUL (P2.T2) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,2,09:02,TOR,,PHI,,K. Lowry,PHI,Lowry Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0078,2,07:54,TOR,,PHI,,K. Lowry,PHI,MISS Lowry 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-119,226,26,1,3.0,0.0,v
S2425-G0078,2,07:37,TOR,,PHI,,K. Lowry,PHI,Lowry S.FOUL (P3.T3) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,2,07:37,TOR,,PHI,,K. Lowry,PHI,SUB: Yabusele FOR Lowry,Substitution,,0,0,0,0,,,v
S2425-G0078,3,07:47,TOR,,PHI,,K. Lowry,PHI,Lowry P.FOUL (P4.T3) (P.Fraher),Foul,Personal,0,0,0,0,,,v
S2425-G0078,3,06:19,TOR,,PHI,,K. Lowry,PHI,SUB: Gordon FOR Lowry,Substitution,,0,0,0,0,,,v
S2425-G0078,4,11:41,TOR,,PHI,,K. Lowry,PHI,Lowry Lost Ball Turnover (P2.T15),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0078,4,09:37,TOR,,PHI,,K. Lowry,PHI,Lowry S.FOUL (P5.T3) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,4,08:40,TOR,,PHI,,K. Lowry,PHI,Lowry STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0078,4,07:16,TOR,98.0,PHI,80.0,K. Lowry,PHI,Lowry Free Throw 1 of 3 (7 PTS),Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,1.0,v
S2425-G0078,4,07:16,TOR,98.0,PHI,81.0,K. Lowry,PHI,Lowry Free Throw 2 of 3 (8 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,v
S2425-G0078,4,07:16,TOR,98.0,PHI,82.0,K. Lowry,PHI,Lowry Free Throw 3 of 3 (9 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,v
S2425-G0078,4,04:35,TOR,,PHI,,K. Lowry,PHI,Lowry STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0078,4,02:36,TOR,105.0,PHI,96.0,K. Lowry,PHI,Lowry 25' 3PT Step Back Jump Shot (12 PTS) (C. Martin 4 AST),Made Shot,Step Back Jump shot,243,63,25,1,3.0,3.0,v
S2425-G0078,4,01:12,TOR,107.0,PHI,97.0,K. Lowry,PHI,Lowry Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,4,01:12,TOR,107.0,PHI,98.0,K. Lowry,PHI,Lowry Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,4,01:05,TOR,,PHI,,K. Lowry,PHI,Lowry STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0097,1,08:51,IND,,PHI,,K. Lowry,PHI,MISS Lowry 29' 3PT Jump Shot,Missed Shot,Jump Shot,210,197,29,1,3.0,0.0,v
S2425-G0097,1,08:07,IND,6.0,PHI,6.0,K. Lowry,PHI,Lowry 25' 3PT Jump Shot (3 PTS) (Maxey 1 AST),Made Shot,Jump Shot,-189,163,25,1,3.0,3.0,v
S2425-G0097,1,06:49,IND,,PHI,,K. Lowry,PHI,SUB: Gordon FOR Lowry,Substitution,,0,0,0,0,,,v
S2425-G0097,2,11:38,IND,,PHI,,K. Lowry,PHI,Lowry P.FOUL (P1.T1) (J.Sterling),Foul,Personal,0,0,0,0,,,v
S2425-G0097,2,09:44,IND,,PHI,,K. Lowry,PHI,Lowry S.FOUL (P2.T3) (M.Ervin),Foul,Shooting,0,0,0,0,,,v
S2425-G0097,2,09:09,IND,,PHI,,K. Lowry,PHI,SUB: Maxey FOR Lowry,Substitution,,0,0,0,0,,,v
S2425-G0097,2,01:27,IND,,PHI,,K. Lowry,PHI,Lowry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,2,00:24.800000,IND,58.0,PHI,52.0,K. Lowry,PHI,Lowry 27' 3PT Jump Shot (6 PTS) (Yabusele 3 AST),Made Shot,Jump Shot,65,264,27,1,3.0,3.0,v
