game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0111,1,07:34,PHX,,LAL,,B. Beal,PHX,Beal S.FOUL (P1.T2) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2425-G0111,1,06:54,PHX,,LAL,,B. Beal,PHX,SUB: Allen FOR Beal,Substitution,,0,0,0,0,,,h
S2425-G0111,1,01:20,PHX,20.0,LAL,31.0,B. Beal,PHX,Beal 25' 3PT Jump Shot (3 PTS) (O'Neale 1 AST),Made Shot,Jump Shot,93,236,25,1,3.0,3.0,h
S2425-G0111,1,00:52.800000,PHX,,LAL,,B. Beal,PHX,MISS Beal 24' 3PT Jump Shot,Missed Shot,Jump Shot,235,17,24,1,3.0,0.0,h
S2425-G0111,1,00:03.400000,PHX,25.0,LAL,34.0,B. Beal,PHX,Beal 2' Driving Layup (5 PTS) (O'Neale 2 AST),Made Shot,Driving Layup Shot,-20,-6,2,1,2.0,2.0,h
S2425-G0111,2,09:39,PHX,,LAL,,B. Beal,PHX,Beal BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0111,2,08:19,PHX,,LAL,,B. Beal,PHX,MISS Beal 13' Jump Shot,Missed Shot,Jump Shot,-130,24,13,1,2.0,0.0,h
S2425-G0111,2,07:28,PHX,,LAL,,B. Beal,PHX,MISS Beal 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-17,256,26,1,3.0,0.0,h
S2425-G0111,2,06:01,PHX,,LAL,,B. Beal,PHX,SUB: O'Neale FOR Beal,Substitution,,0,0,0,0,,,h
S2425-G0111,2,02:09,PHX,43.0,LAL,46.0,B. Beal,PHX,Beal 6' Jump Shot (7 PTS),Made Shot,Jump Shot,-27,59,6,1,2.0,2.0,h
S2425-G0111,2,01:48,PHX,,LAL,,B. Beal,PHX,Beal STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0111,2,01:17,PHX,,LAL,,B. Beal,PHX,Beal Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0111,2,00:42.500000,PHX,,LAL,,B. Beal,PHX,Beal REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,3,09:45,PHX,,LAL,,B. Beal,PHX,MISS Beal 3PT Jump Shot,Missed Shot,Jump Shot,222,39,0,1,3.0,0.0,h
S2425-G0111,3,08:07,PHX,,LAL,,B. Beal,PHX,Beal S.FOUL (P2.T1) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0111,3,07:13,PHX,,LAL,,B. Beal,PHX,MISS Beal 6' Driving Layup,Missed Shot,Driving Layup Shot,27,55,6,1,2.0,0.0,h
S2425-G0111,3,06:50,PHX,,LAL,,B. Beal,PHX,SUB: Plumlee FOR Beal,Substitution,,0,0,0,0,,,h
S2425-G0111,3,02:27,PHX,73.0,LAL,77.0,B. Beal,PHX,Beal 19' Pullup Jump Shot (9 PTS) (Durant 4 AST),Made Shot,Pullup Jump shot,-31,184,19,1,2.0,2.0,h
S2425-G0111,3,00:10.300000,PHX,,LAL,,B. Beal,PHX,SUB: Plumlee FOR Beal,Substitution,,0,0,0,0,,,h
S2425-G0111,4,11:16,PHX,81.0,LAL,83.0,B. Beal,PHX,Beal 2' Running Layup (11 PTS) (O'Neale 4 AST),Made Shot,Running Layup Shot,5,22,2,1,2.0,2.0,h
S2425-G0111,4,10:10,PHX,,LAL,,B. Beal,PHX,Beal REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,4,10:06,PHX,,LAL,,B. Beal,PHX,MISS Beal 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-15,260,26,1,3.0,0.0,h
S2425-G0111,4,09:56,PHX,,LAL,,B. Beal,PHX,MISS Beal 26' 3PT Jump Shot,Missed Shot,Jump Shot,-96,246,26,1,3.0,0.0,h
S2425-G0111,4,07:41,PHX,,LAL,,B. Beal,PHX,MISS Beal 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,10,24,1,3.0,0.0,h
S2425-G0111,4,07:16,PHX,,LAL,,B. Beal,PHX,SUB: Durant FOR Beal,Substitution,,0,0,0,0,,,h
S2425-G0111,4,04:56,PHX,,LAL,,B. Beal,PHX,Beal STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0111,4,04:52,PHX,97.0,LAL,94.0,B. Beal,PHX,Beal 3' Running Layup (13 PTS),Made Shot,Running Layup Shot,-25,17,3,1,2.0,2.0,h
S2425-G0111,4,04:42,PHX,,LAL,,B. Beal,PHX,Beal REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,4,03:21,PHX,,LAL,,B. Beal,PHX,Beal P.FOUL (P3.PN) (E.Dalen),Foul,Personal,0,0,0,0,,,h
S2425-G0111,4,00:07.900000,PHX,,LAL,,B. Beal,PHX," Foul : Double Personal - Beal (4 PF), Reaves (2 PF) (B.Taylor)",Foul,Double Personal,0,0,0,0,,,
S2425-G0111,4,00:00.800000,PHX,108.0,LAL,105.0,B. Beal,PHX,Beal Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,4,00:00.800000,PHX,109.0,LAL,105.0,B. Beal,PHX,Beal Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0085,1,11:32,LAL,,PHX,,B. Beal,PHX,Beal STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0085,1,10:08,LAL,5.0,PHX,5.0,B. Beal,PHX,Beal Driving Dunk (2 PTS) (Nurkić 1 AST),Made Shot,Driving Dunk Shot,2,-1,0,1,2.0,2.0,v
S2425-G0085,1,08:20,LAL,,PHX,,B. Beal,PHX,MISS Beal 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-222,-7,0,1,3.0,0.0,v
S2425-G0085,1,07:20,LAL,,PHX,,B. Beal,PHX,Beal REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0085,1,06:54,LAL,,PHX,,B. Beal,PHX,SUB: O'Neale FOR Beal,Substitution,,0,0,0,0,,,v
S2425-G0085,1,01:30,LAL,20.0,PHX,32.0,B. Beal,PHX,Beal 25' 3PT Pullup Jump Shot (5 PTS) (Nurkić 2 AST),Made Shot,Pullup Jump shot,-145,200,25,1,3.0,3.0,v
S2425-G0085,2,10:28,LAL,23.0,PHX,45.0,B. Beal,PHX,Beal 20' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,-74,183,20,1,2.0,2.0,v
S2425-G0085,2,09:43,LAL,26.0,PHX,48.0,B. Beal,PHX,Beal 26' 3PT Step Back Jump Shot (10 PTS),Made Shot,Step Back Jump shot,-221,140,26,1,3.0,3.0,v
