game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0111,1,10:16,PHX,4.0,LAL,3.0,D. Booker,PHX,Booker 10' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-96,-5,10,1,2.0,2.0,h
S2425-G0111,1,09:26,PHX,,LAL,,D. Booker,PHX,MISS Booker 3PT Jump Shot,Missed Shot,Jump Shot,-222,-17,0,1,3.0,0.0,h
S2425-G0111,1,09:02,PHX,,LAL,,D. Booker,PHX,Booker Traveling Turnover (P1.T1),Turnover,Traveling,0,0,0,0,,,h
S2425-G0111,1,08:39,PHX,6.0,LAL,7.0,D. Booker,PHX,Booker 2' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,-15,5,2,1,2.0,2.0,h
S2425-G0111,1,05:16,PHX,,LAL,,D. Booker,PHX,SUB: Plumlee FOR Booker,Substitution,,0,0,0,0,,,h
S2425-G0111,2,10:08,PHX,31.0,LAL,36.0,D. Booker,PHX,Booker 7' Driving Floating Jump Shot (6 PTS) (Jones 1 AST),Made Shot,Driving Floating Jump Shot,32,67,7,1,2.0,2.0,h
S2425-G0111,2,09:46,PHX,,LAL,,D. Booker,PHX,Booker Lost Ball Turnover (P2.T4),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0111,2,09:35,PHX,,LAL,,D. Booker,PHX,MISS Booker 26' 3PT Jump Shot,Missed Shot,Jump Shot,190,178,26,1,3.0,0.0,h
S2425-G0111,2,09:21,PHX,34.0,LAL,36.0,D. Booker,PHX,Booker 26' 3PT Pullup Jump Shot (9 PTS) (Jones 2 AST),Made Shot,Pullup Jump shot,-110,235,26,1,3.0,3.0,h
S2425-G0111,2,07:54,PHX,,LAL,,D. Booker,PHX,MISS Booker 27' 3PT Jump Shot,Missed Shot,Jump Shot,89,255,27,1,3.0,0.0,h
S2425-G0111,2,07:32,PHX,,LAL,,D. Booker,PHX,SUB: Nurkić FOR Booker,Substitution,,0,0,0,0,,,h
S2425-G0111,2,03:56,PHX,,LAL,,D. Booker,PHX,MISS Booker 5' Driving Layup,Missed Shot,Driving Layup Shot,27,36,5,1,2.0,0.0,h
S2425-G0111,2,03:50,PHX,,LAL,,D. Booker,PHX,Booker REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,03:50,PHX,36.0,LAL,44.0,D. Booker,PHX,Booker Tip Layup Shot (11 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0111,2,03:26,PHX,37.0,LAL,44.0,D. Booker,PHX,Booker Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,2,03:26,PHX,38.0,LAL,44.0,D. Booker,PHX,Booker Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,2,01:01,PHX,46.0,LAL,48.0,D. Booker,PHX,Booker Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,2,01:01,PHX,47.0,LAL,48.0,D. Booker,PHX,Booker Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,2,00:39.300000,PHX,50.0,LAL,48.0,D. Booker,PHX,Booker 3PT Running Jump Shot (18 PTS) (Durant 2 AST),Made Shot,Running Jump Shot,-224,-11,0,1,3.0,3.0,h
S2425-G0111,3,09:39,PHX,,LAL,,D. Booker,PHX,Booker STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0111,3,08:51,PHX,61.0,LAL,58.0,D. Booker,PHX,Booker 5' Pullup Jump Shot (20 PTS),Made Shot,Pullup Jump shot,31,36,5,1,2.0,2.0,h
S2425-G0111,3,08:37,PHX,63.0,LAL,58.0,D. Booker,PHX,Booker 4' Running Layup (22 PTS) (Durant 3 AST),Made Shot,Running Layup Shot,-25,25,4,1,2.0,2.0,h
S2425-G0111,3,08:16,PHX,,LAL,,D. Booker,PHX,MISS Booker 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-162,212,27,1,3.0,0.0,h
S2425-G0111,3,07:30,PHX,,LAL,,D. Booker,PHX,Booker REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,3,06:08,PHX,,LAL,,D. Booker,PHX,MISS Booker 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,86,80,12,1,2.0,0.0,h
