game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0111,1,03:51,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,1,00:39.300000,PHX,,LAL,,M. Plumlee,PHX,Plumlee BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0111,1,00:09.700000,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,11:09,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,10:53,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,09:52,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,09:07,PHX,,LAL,,M. Plumlee,PHX,Plumlee P.FOUL (P1.T1) (E.Dalen),Foul,Personal,0,0,0,0,,,h
S2425-G0111,2,08:46,PHX,,LAL,,M. Plumlee,PHX,Plumlee Violation:Kicked Ball (E.Dalen),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0111,2,07:38,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,07:32,PHX,,LAL,,M. Plumlee,PHX,SUB: Allen FOR Plumlee,Substitution,,0,0,0,0,,,h
S2425-G0111,2,00:20.300000,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,00:00.400000,PHX,,LAL,,M. Plumlee,PHX,Jump Ball Plumlee vs. Davis: Tip to Reaves,Jump Ball,,0,0,0,0,,,h
S2425-G0111,3,06:26,PHX,,LAL,,M. Plumlee,PHX,Plumlee S.FOUL (P2.T2) (E.Dalen),Foul,Shooting,0,0,0,0,,,h
S2425-G0111,3,04:25,PHX,,LAL,,M. Plumlee,PHX,Plumlee P.FOUL (P3.T3) (M.Smith),Foul,Personal,0,0,0,0,,,h
S2425-G0111,3,02:08,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,3,01:23,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:1 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,3,00:47,PHX,,LAL,,M. Plumlee,PHX,SUB: Dunn FOR Plumlee,Substitution,,0,0,0,0,,,h
S2425-G0111,4,01:34,PHX,,LAL,,M. Plumlee,PHX,Plumlee REBOUND (Off:2 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,4,00:40.500000,PHX,,LAL,,M. Plumlee,PHX,SUB: Dunn FOR Plumlee,Substitution,,0,0,0,0,,,h
S2425-G0085,1,06:18,LAL,,PHX,,M. Plumlee,PHX,Plumlee P.FOUL (P1.T3) (D.Collins),Foul,Personal,0,0,0,0,,,v
S2425-G0085,1,04:45,LAL,13.0,PHX,18.0,M. Plumlee,PHX,Plumlee 1' Running Dunk (2 PTS) (Morris 1 AST),Made Shot,Running Dunk Shot,4,3,1,1,2.0,2.0,v
S2425-G0085,1,02:38,LAL,,PHX,,M. Plumlee,PHX,SUB: Nurkić FOR Plumlee,Substitution,,0,0,0,0,,,v
S2425-G0085,2,11:46,LAL,,PHX,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0085,2,11:02,LAL,23.0,PHX,43.0,M. Plumlee,PHX,Plumlee 1' Reverse Dunk (4 PTS) (Beal 5 AST),Made Shot,Reverse Dunk Shot,2,5,1,1,2.0,2.0,v
S2425-G0085,2,10:46,LAL,,PHX,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0085,2,07:06,LAL,,PHX,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0085,2,06:54,LAL,,PHX,,M. Plumlee,PHX,SUB: Nurkić FOR Plumlee,Substitution,,0,0,0,0,,,v
S2425-G0085,2,01:48,LAL,,PHX,,M. Plumlee,PHX,Plumlee REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0085,2,00:57.900000,LAL,,PHX,,M. Plumlee,PHX,Plumlee L.B.FOUL (P2.T4) (J.Goble),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0085,2,00:00.200000,LAL,,PHX,,M. Plumlee,PHX,MISS Plumlee 5' Layup,Missed Shot,Layup Shot,-6,52,5,1,2.0,0.0,v
