game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0111,1,05:09,PHX,10.0,LAL,26.0,R. O'Neale,PHX,O'Neale 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,26,17,3,1,2.0,2.0,h
S2425-G0111,1,04:52,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,1,04:07,PHX,,LAL,,R. O'Neale,PHX,MISS O'Neale 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,62,85,11,1,2.0,0.0,h
S2425-G0111,1,04:06,PHX,,LAL,,R. O'Neale,PHX,O'Neale L.B.FOUL (P1.T4) (B.Taylor),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0111,1,00:35.400000,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,05:12,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,04:48,PHX,,LAL,,R. O'Neale,PHX,MISS O'Neale 6' Driving Layup,Missed Shot,Driving Layup Shot,18,56,6,1,2.0,0.0,h
S2425-G0111,2,04:41,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,2,02:49,PHX,41.0,LAL,44.0,R. O'Neale,PHX,O'Neale 27' 3PT Jump Shot (5 PTS) (Durant 1 AST),Made Shot,Jump Shot,232,129,27,1,3.0,3.0,h
S2425-G0111,2,01:45,PHX,44.0,LAL,46.0,R. O'Neale,PHX,O'Neale Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,2,01:45,PHX,45.0,LAL,46.0,R. O'Neale,PHX,O'Neale Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0111,2,00:00.400000,PHX,,LAL,,R. O'Neale,PHX,MISS O'Neale 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-45,40,6,1,2.0,0.0,h
S2425-G0111,4,10:56,PHX,,LAL,,R. O'Neale,PHX,O'Neale S.FOUL (P2.T1) (M.Smith),Foul,Shooting,0,0,0,0,,,h
S2425-G0111,4,10:35,PHX,84.0,LAL,84.0,R. O'Neale,PHX,O'Neale 27' 3PT Jump Shot (10 PTS) (Booker 1 AST),Made Shot,Jump Shot,173,206,27,1,3.0,3.0,h
S2425-G0111,4,10:02,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,4,09:44,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,4,07:37,PHX,,LAL,,R. O'Neale,PHX,MISS O'Neale 27' 3PT Jump Shot,Missed Shot,Jump Shot,-119,246,27,1,3.0,0.0,h
S2425-G0111,4,07:16,PHX,,LAL,,R. O'Neale,PHX,O'Neale BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0111,4,07:16,PHX,,LAL,,R. O'Neale,PHX,O'Neale S.FOUL (P3.T3) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0111,4,07:14,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,4,06:49,PHX,,LAL,,R. O'Neale,PHX,O'Neale BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0111,4,06:48,PHX,,LAL,,R. O'Neale,PHX,O'Neale REBOUND (Off:2 Def:6),Rebound,Unknown,0,0,0,0,,,h
