game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,10:11,LAC,,POR,,D. Avdija,POR,MISS Avdija 24' 3PT Jump Shot,Missed Shot,Jump Shot,238,25,24,1,3.0,0.0,v
S2425-G0127,1,09:57,LAC,,POR,,D. Avdija,POR,Avdija BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0127,1,09:51,LAC,,POR,,D. Avdija,POR,MISS Avdija 2' Running Reverse Layup,Missed Shot,Running Reverse Layup Shot,-16,19,2,1,2.0,0.0,v
S2425-G0127,1,09:02,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,07:56,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,06:48,LAC,,POR,,D. Avdija,POR,MISS Avdija 2' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,11,16,2,1,2.0,0.0,v
S2425-G0127,1,05:39,LAC,,POR,,D. Avdija,POR,MISS Avdija 2' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,2,20,2,1,2.0,0.0,v
S2425-G0127,1,04:25,LAC,,POR,,D. Avdija,POR,SUB: Murray FOR Avdija,Substitution,,0,0,0,0,,,v
S2425-G0127,2,06:44,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,2,05:14,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,2,05:12,LAC,38.0,POR,42.0,D. Avdija,POR,Avdija 2' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,-5,19,2,1,2.0,2.0,v
S2425-G0127,2,03:03,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,2,02:56,LAC,43.0,POR,47.0,D. Avdija,POR,Avdija Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0127,2,02:56,LAC,43.0,POR,48.0,D. Avdija,POR,Avdija Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0127,2,02:27,LAC,43.0,POR,49.0,D. Avdija,POR,Avdija Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0127,2,02:27,LAC,43.0,POR,50.0,D. Avdija,POR,Avdija Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0127,2,00:44.400000,LAC,,POR,,D. Avdija,POR,MISS Avdija 25' 3PT Jump Shot,Missed Shot,Jump Shot,-234,87,25,1,3.0,0.0,v
S2425-G0127,2,00:04.100000,LAC,,POR,,D. Avdija,POR,Avdija Personal Take Foul (P1.T3) (E.Dalen),Foul,Personal Take,0,0,0,0,,,v
S2425-G0127,3,08:44,LAC,63.0,POR,67.0,D. Avdija,POR,Avdija 3' Driving Reverse Layup (8 PTS) (Simons 3 AST),Made Shot,Driving Reverse Layup Shot,0,25,3,1,2.0,2.0,v
S2425-G0127,3,05:50,LAC,72.0,POR,73.0,D. Avdija,POR,Avdija 27' 3PT Pullup Jump Shot (11 PTS),Made Shot,Pullup Jump shot,92,251,27,1,3.0,3.0,v
S2425-G0127,3,04:25,LAC,,POR,,D. Avdija,POR,Avdija Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0127,3,03:58,LAC,80.0,POR,74.0,D. Avdija,POR,Avdija Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0127,3,03:58,LAC,80.0,POR,75.0,D. Avdija,POR,Avdija Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0127,3,03:28,LAC,,POR,,D. Avdija,POR,SUB: Murray FOR Avdija,Substitution,,0,0,0,0,,,v
S2425-G0127,4,04:36,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,04:12,LAC,,POR,,D. Avdija,POR,Avdija Bad Pass Turnover (P2.T13),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0127,4,04:02,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,02:53,LAC,,POR,,D. Avdija,POR,Avdija REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,4,02:17,LAC,,POR,,D. Avdija,POR,Avdija STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0127,4,01:20,LAC,,POR,,D. Avdija,POR,Avdija S.FOUL (P2.PN) (M.Smith),Foul,Shooting,0,0,0,0,,,v
