game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0072,3,03:10,POR,,GSW,,D. Banton,POR,Banton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,3,02:07,POR,,GSW,,D. Banton,POR,MISS Banton 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-50,67,8,1,2.0,0.0,h
S2425-G0072,4,03:38,POR,,GSW,,D. Banton,POR,MISS Banton 5' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,42,28,5,1,2.0,0.0,h
S2425-G0072,4,01:25,POR,,GSW,,D. Banton,POR,MISS Banton 24' 3PT Jump Shot,Missed Shot,Jump Shot,-234,58,24,1,3.0,0.0,h
S2425-G0072,4,00:46.100000,POR,104.0,GSW,137.0,D. Banton,POR,Banton 27' 3PT Step Back Jump Shot (3 PTS) (Reath 1 AST),Made Shot,Step Back Jump shot,-165,216,27,1,3.0,3.0,h
S2425-G0099,4,02:33,POR,,,,D. Banton,POR,Banton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0112,4,02:49,SAC,105.0,POR,90.0,D. Banton,POR,Banton 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-27,14,3,1,2.0,2.0,v
S2425-G0112,4,02:49,SAC,,POR,,D. Banton,POR,MISS Banton Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0112,4,02:28,SAC,,POR,,D. Banton,POR,Banton Bad Pass Turnover (P1.T18),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0112,4,01:58,SAC,,POR,,D. Banton,POR,MISS Banton Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0112,4,01:58,SAC,,POR,,D. Banton,POR,MISS Banton Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0112,4,01:56,SAC,,POR,,D. Banton,POR,SUB: Reath FOR Banton,Substitution,,0,0,0,0,,,v
