game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,09:54,LAC,,POR,,T. Camara,POR,Camara REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,08:08,LAC,,POR,,T. Camara,POR,MISS Camara 4' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,34,14,4,1,2.0,0.0,v
S2425-G0127,1,07:22,LAC,,POR,,T. Camara,POR,MISS Camara 27' 3PT Jump Shot,Missed Shot,Jump Shot,184,203,27,1,3.0,0.0,v
S2425-G0127,1,03:14,LAC,,POR,,T. Camara,POR,MISS Camara 1' Running Layup,Missed Shot,Running Layup Shot,6,-4,1,1,2.0,0.0,v
S2425-G0127,1,03:07,LAC,18.0,POR,15.0,T. Camara,POR,Camara 25' 3PT Jump Shot (3 PTS) (Simons 1 AST),Made Shot,Jump Shot,245,-15,25,1,3.0,3.0,v
S2425-G0127,1,02:52,LAC,,POR,,T. Camara,POR,SUB: Walker FOR Camara,Substitution,,0,0,0,0,,,v
S2425-G0127,1,00:20.400000,LAC,,POR,,T. Camara,POR,Camara BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0127,2,08:37,LAC,,POR,,T. Camara,POR,Camara STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0127,2,07:46,LAC,38.0,POR,34.0,T. Camara,POR,Camara 2' Driving Layup (5 PTS) (Henderson 3 AST),Made Shot,Driving Layup Shot,11,21,2,1,2.0,2.0,v
S2425-G0127,2,02:09,LAC,,POR,,T. Camara,POR,Camara STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0127,2,02:04,LAC,43.0,POR,52.0,T. Camara,POR,Camara 1' Running Dunk (7 PTS) (Ayton 1 AST),Made Shot,Running Dunk Shot,-4,-5,1,1,2.0,2.0,v
S2425-G0127,3,11:30,LAC,50.0,POR,57.0,T. Camara,POR,Camara 27' 3PT Jump Shot (10 PTS) (Avdija 2 AST),Made Shot,Jump Shot,-132,233,27,1,3.0,3.0,v
S2425-G0127,3,09:48,LAC,,POR,,T. Camara,POR,MISS Camara 5' Reverse Layup,Missed Shot,Reverse Layup Shot,12,50,5,1,2.0,0.0,v
S2425-G0127,3,02:29,LAC,,POR,,T. Camara,POR,Camara P.FOUL (P1.T1) (E.Dalen),Foul,Personal,0,0,0,0,,,v
S2425-G0127,3,01:58,LAC,,POR,,T. Camara,POR,Camara Lost Ball Turnover (P1.T9),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0127,3,01:41,LAC,,POR,,T. Camara,POR,SUB: Rupert FOR Camara,Substitution,,0,0,0,0,,,v
S2425-G0127,4,06:37,LAC,,POR,,T. Camara,POR,MISS Camara 26' 3PT Jump Shot,Missed Shot,Jump Shot,214,148,26,1,3.0,0.0,v
S2425-G0127,4,06:24,LAC,,POR,,T. Camara,POR,Camara STEAL (3 STL),,,0,0,0,0,,,v
S2425-G0127,4,06:19,LAC,95.0,POR,94.0,T. Camara,POR,Camara 3' Running Layup (12 PTS) (Simons 5 AST),Made Shot,Running Layup Shot,11,31,3,1,2.0,2.0,v
S2425-G0127,4,04:05,LAC,,POR,,T. Camara,POR,Camara P.FOUL (P2.PN) (M.Smith),Foul,Personal,0,0,0,0,,,v
S2425-G0072,1,10:52,POR,5.0,GSW,1.0,T. Camara,POR,Camara 26' 3PT Jump Shot (3 PTS) (Simons 1 AST),Made Shot,Jump Shot,-145,210,26,1,3.0,3.0,h
S2425-G0072,1,09:33,POR,,GSW,,T. Camara,POR,Camara S.FOUL (P1.T2) (D.Collins),Foul,Shooting,0,0,0,0,,,h
S2425-G0072,1,04:32,POR,,GSW,,T. Camara,POR,Camara REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,1,03:28,POR,,GSW,,T. Camara,POR,SUB: Simons FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0072,2,06:28,POR,,GSW,,T. Camara,POR,Camara STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0072,2,01:49,POR,48.0,GSW,54.0,T. Camara,POR,Camara 25' 3PT Jump Shot (6 PTS) (Avdija 2 AST),Made Shot,Jump Shot,-192,157,25,1,3.0,3.0,h
S2425-G0072,2,01:42,POR,,GSW,,T. Camara,POR,Defensive Goaltending,Violation,Defensive Goaltending,0,0,0,0,,,h
S2425-G0072,2,01:28,POR,,GSW,,T. Camara,POR,Camara REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,2,01:28,POR,,GSW,,T. Camara,POR,MISS Camara Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0072,2,01:09,POR,,GSW,,T. Camara,POR,Camara P.FOUL (P2.PN) (T.Ford),Foul,Personal,0,0,0,0,,,h
S2425-G0072,2,00:10,POR,,GSW,,T. Camara,POR,Camara P.FOUL (P3.PN) (T.Ford),Foul,Personal,0,0,0,0,,,h
S2425-G0072,2,00:10,POR,,GSW,,T. Camara,POR,SUB: Henderson FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0072,3,10:58,POR,,GSW,,T. Camara,POR,Camara REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,3,09:37,POR,,GSW,,T. Camara,POR,Camara STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0072,3,09:32,POR,,GSW,,T. Camara,POR,MISS Camara 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-53,42,7,1,2.0,0.0,h
S2425-G0072,3,04:00,POR,,GSW,,T. Camara,POR,SUB: Clingan FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0072,4,11:36,POR,,GSW,,T. Camara,POR,MISS Camara 24' 3PT Jump Shot,Missed Shot,Jump Shot,210,123,24,1,3.0,0.0,h
S2425-G0072,4,11:25,POR,,GSW,,T. Camara,POR,Camara Bad Pass Turnover (P1.T14),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0072,4,11:15,POR,,GSW,,T. Camara,POR,Camara REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,4,11:15,POR,74.0,GSW,100.0,T. Camara,POR,Camara Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0072,4,10:30,POR,75.0,GSW,102.0,T. Camara,POR,Camara Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0072,4,10:30,POR,76.0,GSW,102.0,T. Camara,POR,Camara Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0072,4,10:06,POR,,GSW,,T. Camara,POR,Camara REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,4,10:05,POR,,GSW,,T. Camara,POR,MISS Camara 2' Putback Layup,Missed Shot,Putback Layup Shot,-15,6,2,1,2.0,0.0,h
S2425-G0072,4,08:11,POR,,GSW,,T. Camara,POR,Camara Bad Pass Turnover (P2.T15),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0072,4,07:24,POR,,GSW,,T. Camara,POR,Camara S.FOUL (P4.T2) (D.Collins),Foul,Shooting,0,0,0,0,,,h
S2425-G0072,4,07:13,POR,,GSW,,T. Camara,POR,MISS Camara 26' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,-154,207,26,1,3.0,0.0,h
S2425-G0072,4,05:57,POR,,GSW,,T. Camara,POR,Camara REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0072,4,05:56,POR,,GSW,,T. Camara,POR,MISS Camara Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0072,4,05:56,POR,87.0,GSW,112.0,T. Camara,POR,Camara Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0072,4,05:38,POR,,GSW,,T. Camara,POR,SUB: Walker FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0086,1,10:23,POR,,,,T. Camara,POR,Camara S.FOUL (P1.T1) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0086,1,09:22,POR,,,,T. Camara,POR,MISS Camara 3PT Jump Shot,Missed Shot,Jump Shot,-228,37,0,1,3.0,0.0,h
S2425-G0086,1,07:07,POR,,,,T. Camara,POR,Camara Offensive Charge Foul (P2) (J.Williams),Foul,Offensive Charge,0,0,0,0,,,h
S2425-G0086,1,07:07,POR,,,,T. Camara,POR,Camara Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0086,1,06:39,POR,,,,T. Camara,POR,SUB: Henderson FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0086,2,07:26,POR,,,,T. Camara,POR,Camara REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,2,05:10,POR,,,,T. Camara,POR,Camara REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,2,04:36,POR,,,,T. Camara,POR,Camara REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,2,03:29,POR,44.0,,28.0,T. Camara,POR,Camara 3PT Jump Shot (3 PTS) (Simons 5 AST),Made Shot,Jump Shot,233,13,0,1,3.0,3.0,h
S2425-G0086,2,02:13,POR,,,,T. Camara,POR,MISS Camara 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,17,6,2,1,2.0,0.0,h
S2425-G0086,2,02:02,POR,,,,T. Camara,POR,Camara P.FOUL (P3.T4) (J.Conley),Foul,Personal,0,0,0,0,,,h
S2425-G0086,2,02:02,POR,,,,T. Camara,POR,SUB: Henderson FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0086,3,08:23,POR,,,,T. Camara,POR,Camara REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,3,07:05,POR,,,,T. Camara,POR,Camara STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0086,3,06:36,POR,,,,T. Camara,POR,MISS Camara 4' Driving Layup,Missed Shot,Driving Layup Shot,-36,18,4,1,2.0,0.0,h
S2425-G0086,3,05:57,POR,,,,T. Camara,POR,Camara S.FOUL (P4.T2) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2425-G0086,3,05:57,POR,,,,T. Camara,POR,SUB: Walker FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0086,4,03:51,POR,,,,T. Camara,POR,Camara REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,4,03:51,POR,97.0,,97.0,T. Camara,POR,Camara Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0086,4,01:21,POR,,,,T. Camara,POR,Camara REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0086,4,01:20,POR,,,,T. Camara,POR,MISS Camara Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0099,1,05:15,POR,,,,T. Camara,POR,Camara P.FOUL (P1.T2) (T.Washington),Foul,Personal,0,0,0,0,,,h
S2425-G0099,1,05:02,POR,17.0,,17.0,T. Camara,POR,Camara 25' 3PT Jump Shot (3 PTS) (Henderson 1 AST),Made Shot,Jump Shot,217,125,25,1,3.0,3.0,h
S2425-G0099,1,04:43,POR,19.0,,17.0,T. Camara,POR,Camara 2' Running Reverse Layup (5 PTS) (Simons 2 AST),Made Shot,Running Reverse Layup Shot,-21,5,2,1,2.0,2.0,h
S2425-G0099,1,03:55,POR,,,,T. Camara,POR,MISS Camara 3PT Jump Shot,Missed Shot,Jump Shot,230,9,0,1,3.0,0.0,h
S2425-G0099,1,02:35,POR,,,,T. Camara,POR,SUB: Grant FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0099,2,06:16,POR,,,,T. Camara,POR,Camara P.FOUL (P2.T2) (T.Washington),Foul,Personal,0,0,0,0,,,h
S2425-G0099,2,03:57,POR,,,,T. Camara,POR,Camara STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0099,2,03:52,POR,,,,T. Camara,POR,Camara REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0099,2,03:52,POR,,,,T. Camara,POR,MISS Camara Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0099,2,03:05,POR,51.0,,41.0,T. Camara,POR,Camara 1' Turnaround Hook Shot (7 PTS),Made Shot,Turnaround Hook Shot,6,13,1,1,2.0,2.0,h
S2425-G0099,2,03:05,POR,,,,T. Camara,POR,MISS Camara Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2425-G0099,3,09:08,POR,,,,T. Camara,POR,Camara P.FOUL (P3.T2) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2425-G0099,3,07:03,POR,74.0,,58.0,T. Camara,POR,Camara 27' 3PT Jump Shot (10 PTS) (Avdija 1 AST),Made Shot,Jump Shot,-157,221,27,1,3.0,3.0,h
S2425-G0099,3,05:45,POR,,,,T. Camara,POR,Camara STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0099,3,03:09,POR,,,,T. Camara,POR,Camara REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0099,3,02:45,POR,,,,T. Camara,POR,SUB: Grant FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0099,4,07:57,POR,,,,T. Camara,POR,Camara REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0099,4,07:57,POR,,,,T. Camara,POR,MISS Camara Tip Dunk Shot,Missed Shot,Tip Dunk Shot,0,0,0,1,2.0,0.0,h
S2425-G0099,4,05:24,POR,110.0,,90.0,T. Camara,POR,Camara Running Dunk (12 PTS) (Avdija 2 AST),Made Shot,Running Dunk Shot,-4,0,0,1,2.0,2.0,h
S2425-G0099,4,03:43,POR,,,,T. Camara,POR,SUB: Rupert FOR Camara,Substitution,,0,0,0,0,,,h
S2425-G0112,1,09:06,SAC,,POR,,T. Camara,POR,MISS Camara 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,235,-6,24,1,3.0,0.0,v
S2425-G0112,1,06:22,SAC,,POR,,T. Camara,POR,Camara S.FOUL (P1.T2) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2425-G0112,1,05:48,SAC,,POR,,T. Camara,POR,Camara STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0112,1,04:43,SAC,,POR,,T. Camara,POR,Camara S.FOUL (P2.T3) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2425-G0112,1,04:43,SAC,,POR,,T. Camara,POR,SUB: Murray FOR Camara,Substitution,,0,0,0,0,,,v
S2425-G0112,2,07:58,SAC,,POR,,T. Camara,POR,Camara OFF.Foul (P3) (J.Goble),Foul,Offensive,0,0,0,0,,,v
S2425-G0112,2,07:58,SAC,,POR,,T. Camara,POR,Camara Offensive Foul Turnover (P1.T4),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0112,2,07:58,SAC,,POR,,T. Camara,POR,SUB: Avdija FOR Camara,Substitution,,0,0,0,0,,,v
S2425-G0112,3,10:01,SAC,,POR,,T. Camara,POR,Camara S.FOUL (P4.T1) (M.Lindsay),Foul,Shooting,0,0,0,0,,,v
S2425-G0112,3,08:07,SAC,,POR,,T. Camara,POR,SUB: Henderson FOR Camara,Substitution,,0,0,0,0,,,v
S2425-G0112,4,10:40,SAC,,POR,,T. Camara,POR,MISS Camara 5' Driving Layup,Missed Shot,Driving Layup Shot,-9,52,5,1,2.0,0.0,v
S2425-G0112,4,08:14,SAC,,POR,,T. Camara,POR,Camara REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0112,4,07:34,SAC,,POR,,T. Camara,POR,Camara BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0112,4,06:50,SAC,,POR,,T. Camara,POR,Camara REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0112,4,06:50,SAC,99.0,POR,81.0,T. Camara,POR,Camara 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-7,5,1,1,2.0,2.0,v
S2425-G0112,4,03:33,SAC,,POR,,T. Camara,POR,SUB: Murray FOR Camara,Substitution,,0,0,0,0,,,v
