game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0115,1,03:48,UTA,,SAC,,K. Ellis,SAC,MISS Ellis 3PT Jump Shot,Missed Shot,Jump Shot,232,20,0,1,3.0,0.0,v
S2425-G0115,1,03:45,UTA,,SAC,,K. Ellis,SAC,Ellis P.FOUL (P1.T2) (C.Kirkland),Foul,Personal,0,0,0,0,,,v
S2425-G0115,1,03:41,UTA,,SAC,,K. Ellis,SAC,Ellis Violation:Kicked Ball (B.Schwab),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0115,1,01:29,UTA,,SAC,,K. Ellis,SAC,Ellis STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0115,1,01:25,UTA,,SAC,,K. Ellis,SAC,Ellis REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,1,01:25,UTA,20.0,SAC,32.0,K. Ellis,SAC,Ellis Tip Dunk Shot (2 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,v
S2425-G0115,1,00:03.700000,UTA,,SAC,,K. Ellis,SAC,Ellis STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0115,2,10:59,UTA,,SAC,,K. Ellis,SAC,Ellis OFF.Foul (P2) (C.Kirkland),Foul,Offensive,0,0,0,0,,,v
S2425-G0115,2,10:59,UTA,,SAC,,K. Ellis,SAC,Ellis Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0115,2,10:52,UTA,,SAC,,K. Ellis,SAC,Ellis P.FOUL (P3.T1) (B.Schwab),Foul,Personal,0,0,0,0,,,v
S2425-G0115,2,10:52,UTA,,SAC,,K. Ellis,SAC,SUB: DeRozan FOR Ellis,Substitution,,0,0,0,0,,,v
S2425-G0115,2,00:41.500000,UTA,,SAC,,K. Ellis,SAC,Ellis REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,3,05:29,UTA,,SAC,,K. Ellis,SAC,MISS Ellis 25' 3PT Jump Shot,Missed Shot,Jump Shot,124,215,25,1,3.0,0.0,v
S2425-G0115,3,05:16,UTA,,SAC,,K. Ellis,SAC,Ellis BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0115,3,03:56,UTA,,SAC,,K. Ellis,SAC,Ellis P.FOUL (P4.T2) (C.Kirkland),Foul,Personal,0,0,0,0,,,v
S2425-G0115,3,02:21,UTA,,SAC,,K. Ellis,SAC,MISS Ellis Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0115,3,02:21,UTA,66.0,SAC,84.0,K. Ellis,SAC,Ellis Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0115,3,02:01,UTA,,SAC,,K. Ellis,SAC,Ellis REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,3,00:16.100000,UTA,,SAC,,K. Ellis,SAC,Ellis BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0115,4,11:37,UTA,66.0,SAC,92.0,K. Ellis,SAC,Ellis 20' Step Back Jump Shot (5 PTS),Made Shot,Step Back Jump shot,-138,143,20,1,2.0,2.0,v
S2425-G0115,4,10:44,UTA,,SAC,,K. Ellis,SAC,Ellis BLOCK (3 BLK),,,0,0,0,0,,,v
S2425-G0115,4,10:42,UTA,,SAC,,K. Ellis,SAC,Ellis REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0115,4,09:46,UTA,,SAC,,K. Ellis,SAC,SUB: DeRozan FOR Ellis,Substitution,,0,0,0,0,,,v
S2425-G0076,1,04:47,SAC,,MIN,,K. Ellis,SAC,Ellis STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0076,1,04:29,SAC,,MIN,,K. Ellis,SAC,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0076,1,01:01,SAC,,MIN,,K. Ellis,SAC,SUB: Len FOR Ellis,Substitution,,0,0,0,0,,,h
S2425-G0076,2,03:34,SAC,,MIN,,K. Ellis,SAC,Ellis P.FOUL (P1.T3) (S.Mehta),Foul,Personal,0,0,0,0,,,h
S2425-G0076,2,03:34,SAC,,MIN,,K. Ellis,SAC,SUB: Monk FOR Ellis,Substitution,,0,0,0,0,,,h
S2425-G0076,3,03:07,SAC,87.0,MIN,78.0,K. Ellis,SAC,Ellis Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0076,3,03:07,SAC,88.0,MIN,78.0,K. Ellis,SAC,Ellis Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0076,3,01:56,SAC,,MIN,,K. Ellis,SAC,Ellis STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0076,3,01:56,SAC,,MIN,,K. Ellis,SAC,MISS Ellis 8' Floating Jump Shot,Missed Shot,Floating Jump shot,25,72,8,1,2.0,0.0,h
S2425-G0076,3,01:56,SAC,,MIN,,K. Ellis,SAC,SUB: Murray FOR Ellis,Substitution,,0,0,0,0,,,h
S2425-G0076,4,06:40,SAC,,MIN,,K. Ellis,SAC,SUB: Fox FOR Ellis,Substitution,,0,0,0,0,,,h
S2425-G0112,1,04:52,SAC,,POR,,K. Ellis,SAC,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0112,1,04:27,SAC,,POR,,K. Ellis,SAC,Ellis BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0112,1,02:08,SAC,,POR,,K. Ellis,SAC,Ellis REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0112,1,02:07,SAC,,POR,,K. Ellis,SAC,MISS Ellis 20' Jump Shot,Missed Shot,Jump Shot,-202,-15,20,1,2.0,0.0,h
S2425-G0112,1,01:27,SAC,,POR,,K. Ellis,SAC,SUB: Murray FOR Ellis,Substitution,,0,0,0,0,,,h
S2425-G0112,2,06:35,SAC,38.0,POR,30.0,K. Ellis,SAC,Ellis 3PT Jump Shot (3 PTS) (McLaughlin 1 AST),Made Shot,Jump Shot,-224,10,0,1,3.0,3.0,h
S2425-G0112,2,03:04,SAC,,POR,,K. Ellis,SAC,Ellis REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0112,2,01:32,SAC,,POR,,K. Ellis,SAC,MISS Ellis 25' 3PT Jump Shot,Missed Shot,Jump Shot,-195,151,25,1,3.0,0.0,h
S2425-G0112,3,01:21,SAC,,POR,,K. Ellis,SAC,Ellis STEAL (1 STL),,,0,0,0,0,,,h
