game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0096,1,10:28,LAL,,SAC,,K. Huerter,SAC,MISS Huerter 27' 3PT Jump Shot,Missed Shot,Jump Shot,125,242,27,1,3.0,0.0,v
S2425-G0096,1,10:08,LAL,,SAC,,K. Huerter,SAC,Huerter S.FOUL (P1.T2) (K.Scott),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,1,08:50,LAL,,SAC,,K. Huerter,SAC,Huerter REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,1,08:18,LAL,,SAC,,K. Huerter,SAC,MISS Huerter 25' 3PT Jump Shot,Missed Shot,Jump Shot,-222,111,25,1,3.0,0.0,v
S2425-G0096,1,05:35,LAL,16.0,SAC,11.0,K. Huerter,SAC,Huerter 26' 3PT Jump Shot (3 PTS) (Sabonis 3 AST),Made Shot,Jump Shot,157,209,26,1,3.0,3.0,v
S2425-G0096,1,04:49,LAL,,SAC,,K. Huerter,SAC,Huerter STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0096,1,04:43,LAL,16.0,SAC,14.0,K. Huerter,SAC,Huerter 28' 3PT Running Pull-Up Jump Shot (6 PTS),Made Shot,Running Pull-Up Jump Shot,100,260,28,1,3.0,3.0,v
S2425-G0096,1,02:17,LAL,,SAC,,K. Huerter,SAC,SUB: Murray FOR Huerter,Substitution,,0,0,0,0,,,v
S2425-G0096,2,11:20,LAL,,SAC,,K. Huerter,SAC,MISS Huerter 10' Floating Jump Shot,Missed Shot,Floating Jump shot,-47,89,10,1,2.0,0.0,v
S2425-G0096,2,07:32,LAL,,SAC,,K. Huerter,SAC,Huerter REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,2,06:33,LAL,,SAC,,K. Huerter,SAC,MISS Huerter 27' 3PT Jump Shot,Missed Shot,Jump Shot,172,211,27,1,3.0,0.0,v
S2425-G0096,2,06:27,LAL,46.0,SAC,36.0,K. Huerter,SAC,Huerter 25' 3PT Jump Shot (9 PTS) (Monk 2 AST),Made Shot,Jump Shot,213,130,25,1,3.0,3.0,v
S2425-G0096,2,06:08,LAL,,SAC,,K. Huerter,SAC,SUB: Murray FOR Huerter,Substitution,,0,0,0,0,,,v
S2425-G0096,3,10:45,LAL,,SAC,,K. Huerter,SAC,Huerter Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0096,3,08:40,LAL,,SAC,,K. Huerter,SAC,Huerter STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0096,3,07:37,LAL,68.0,SAC,74.0,K. Huerter,SAC,Huerter 24' 3PT Jump Shot (12 PTS) (DeRozan 2 AST),Made Shot,Jump Shot,234,34,24,1,3.0,3.0,v
S2425-G0096,3,06:41,LAL,70.0,SAC,76.0,K. Huerter,SAC,Huerter 3' Driving Reverse Layup (14 PTS) (Sabonis 6 AST),Made Shot,Driving Reverse Layup Shot,27,-4,3,1,2.0,2.0,v
S2425-G0096,3,04:55,LAL,,SAC,,K. Huerter,SAC,SUB: McLaughlin FOR Huerter,Substitution,,0,0,0,0,,,v
S2425-G0096,4,11:00,LAL,,SAC,,K. Huerter,SAC,Huerter P.FOUL (P2.T1) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0096,4,08:18,LAL,,SAC,,K. Huerter,SAC,SUB: Murray FOR Huerter,Substitution,,0,0,0,0,,,v
