game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0096,1,03:16,LAL,,SAC,,T. Lyles,SAC,Lyles BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0096,1,03:14,LAL,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,1,02:05,LAL,26.0,SAC,21.0,T. Lyles,SAC,Lyles 3PT Jump Shot (3 PTS) (Fox 2 AST),Made Shot,Jump Shot,-233,-27,0,1,3.0,3.0,v
S2425-G0096,2,10:21,LAL,,SAC,,T. Lyles,SAC,MISS Lyles 27' 3PT Jump Shot,Missed Shot,Jump Shot,49,262,27,1,3.0,0.0,v
S2425-G0096,2,08:00,LAL,,SAC,,T. Lyles,SAC,Lyles S.FOUL (P1.T1) (S.Twardoski),Foul,Shooting,0,0,0,0,,,v
S2425-G0096,2,07:31,LAL,44.0,SAC,32.0,T. Lyles,SAC,Lyles Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0096,2,07:31,LAL,44.0,SAC,33.0,T. Lyles,SAC,Lyles Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0096,2,06:29,LAL,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0096,2,04:39,LAL,,SAC,,T. Lyles,SAC,MISS Lyles 27' 3PT Jump Shot,Missed Shot,Jump Shot,-161,221,27,1,3.0,0.0,v
S2425-G0096,2,02:19,LAL,,SAC,,T. Lyles,SAC,Lyles STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0096,2,02:10,LAL,,SAC,,T. Lyles,SAC,SUB: DeRozan FOR Lyles,Substitution,,0,0,0,0,,,v
S2425-G0096,2,00:00.600000,LAL,,SAC,,T. Lyles,SAC,MISS Lyles 25' 3PT Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-230,92,25,1,3.0,0.0,v
S2425-G0096,3,03:37,LAL,,SAC,,T. Lyles,SAC,Lyles P.FOUL (P2.T1) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0096,3,02:57,LAL,,SAC,,T. Lyles,SAC,MISS Lyles 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-201,150,25,1,3.0,0.0,v
