game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,4,04:55,DAL,,SAS,,M. Branham,SAS,MISS Branham 3PT Jump Shot,Missed Shot,Jump Shot,-227,5,0,1,3.0,0.0,v
S2425-G0074,4,04:40,DAL,114.0,SAS,98.0,M. Branham,SAS,Branham 3PT Jump Shot (3 PTS) (Castle 3 AST),Made Shot,Jump Shot,-222,6,0,1,3.0,3.0,v
S2425-G0074,4,03:49,DAL,116.0,SAS,101.0,M. Branham,SAS,Branham 14' Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-75,124,14,1,2.0,2.0,v
S2425-G0074,4,02:38,DAL,,SAS,,M. Branham,SAS,Branham REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0074,4,00:59.100000,DAL,,SAS,,M. Branham,SAS,MISS Branham 24' 3PT Jump Shot,Missed Shot,Jump Shot,-188,152,24,1,3.0,0.0,v
S2425-G0074,4,00:54.800000,DAL,120.0,SAS,109.0,M. Branham,SAS,Branham 1' Cutting Layup Shot (7 PTS) (Castle 5 AST),Made Shot,Cutting Layup Shot,5,4,1,1,2.0,2.0,v
S2425-G0074,4,00:29.100000,DAL,,SAS,,M. Branham,SAS,Branham REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,1,02:35,SAS,,HOU,,M. Branham,SAS,Branham Out of Bounds Lost Ball Turnover (P1.T6),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0109,1,00:46.500000,SAS,,HOU,,M. Branham,SAS,MISS Branham 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,5,1,1,2.0,0.0,h
S2425-G0109,2,11:21,SAS,,HOU,,M. Branham,SAS,Branham STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0109,2,11:18,SAS,16.0,HOU,31.0,M. Branham,SAS,Branham Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0109,2,11:18,SAS,17.0,HOU,31.0,M. Branham,SAS,Branham Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0109,2,10:36,SAS,19.0,HOU,34.0,M. Branham,SAS,Branham 1' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,0,11,1,1,2.0,2.0,h
S2425-G0109,2,09:32,SAS,,HOU,,M. Branham,SAS,Branham Traveling Turnover (P2.T9),Turnover,Traveling,0,0,0,0,,,h
S2425-G0109,2,09:32,SAS,,HOU,,M. Branham,SAS,SUB: Barnes FOR Branham,Substitution,,0,0,0,0,,,h
S2425-G0109,3,01:03,SAS,72.0,HOU,85.0,M. Branham,SAS,Branham 25' 3PT Jump Shot (7 PTS) (Wesley 2 AST),Made Shot,Jump Shot,123,217,25,1,3.0,3.0,h
S2425-G0109,3,00:32.700000,SAS,75.0,HOU,87.0,M. Branham,SAS,Branham 25' 3PT Step Back Jump Shot (10 PTS) (Castle 4 AST),Made Shot,Step Back Jump shot,186,162,25,1,3.0,3.0,h
S2425-G0109,4,10:37,SAS,80.0,HOU,88.0,M. Branham,SAS,Branham 25' 3PT Pullup Jump Shot (13 PTS) (Wembanyama 3 AST),Made Shot,Pullup Jump shot,-196,163,25,1,3.0,3.0,h
S2425-G0109,4,08:59,SAS,84.0,HOU,88.0,M. Branham,SAS,Branham 1' Cutting Layup Shot (15 PTS) (Wembanyama 4 AST),Made Shot,Cutting Layup Shot,5,8,1,1,2.0,2.0,h
S2425-G0109,4,08:48,SAS,,HOU,,M. Branham,SAS,Branham P.FOUL (P1.T2) (J.Orr),Foul,Personal,0,0,0,0,,,h
S2425-G0109,4,07:02,SAS,,HOU,,M. Branham,SAS,MISS Branham 25' 3PT Jump Shot,Missed Shot,Jump Shot,-206,144,25,1,3.0,0.0,h
S2425-G0109,4,06:22,SAS,,HOU,,M. Branham,SAS,Branham P.FOUL (P2.T4) (J.Williams),Foul,Personal,0,0,0,0,,,h
S2425-G0109,4,06:02,SAS,,HOU,,M. Branham,SAS,Branham Out of Bounds Lost Ball Turnover (P3.T17),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0109,4,03:48,SAS,,HOU,,M. Branham,SAS,SUB: Paul FOR Branham,Substitution,,0,0,0,0,,,h
S2425-G0109,4,00:51.200000,SAS,,HOU,,M. Branham,SAS,MISS Branham 26' 3PT Jump Shot,Missed Shot,Jump Shot,-20,257,26,1,3.0,0.0,h
S2425-G0125,2,11:18,OKC,,SAS,,M. Branham,SAS,MISS Branham 13' Floating Jump Shot,Missed Shot,Floating Jump shot,129,-1,13,1,2.0,0.0,v
S2425-G0125,2,10:22,OKC,,SAS,,M. Branham,SAS,MISS Branham 5' Driving Layup,Missed Shot,Driving Layup Shot,-47,4,5,1,2.0,0.0,v
S2425-G0125,2,10:06,OKC,,SAS,,M. Branham,SAS,Branham REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0125,2,09:54,OKC,28.0,SAS,22.0,M. Branham,SAS,Branham 26' 3PT Jump Shot (3 PTS) (Johnson 1 AST),Made Shot,Jump Shot,126,229,26,1,3.0,3.0,v
S2425-G0125,2,08:26,OKC,35.0,SAS,26.0,M. Branham,SAS,Branham 1' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,-10,0,1,1,2.0,2.0,v
S2425-G0125,2,07:32,OKC,,SAS,,M. Branham,SAS,MISS Branham 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-51,194,20,1,2.0,0.0,v
S2425-G0125,2,06:56,OKC,,SAS,,M. Branham,SAS,SUB: Wembanyama FOR Branham,Substitution,,0,0,0,0,,,v
S2425-G0125,4,11:06,OKC,82.0,SAS,72.0,M. Branham,SAS,Branham 2' Driving Finger Roll Layup (7 PTS),Made Shot,Driving Finger Roll Layup Shot,-12,13,2,1,2.0,2.0,v
