game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,03:24,TOR,,PHI,,B. Fernando,TOR,Fernando REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,03:13,TOR,,PHI,,B. Fernando,TOR,Fernando Traveling Turnover (P1.T5),Turnover,Traveling,0,0,0,0,,,h
S2425-G0078,1,02:49,TOR,,PHI,,B. Fernando,TOR,Fernando Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0078,1,02:39,TOR,,PHI,,B. Fernando,TOR,Fernando BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0078,1,02:37,TOR,,PHI,,B. Fernando,TOR,Fernando REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,01:52,TOR,,PHI,,B. Fernando,TOR,Fernando Lost Ball Turnover (P3.T7),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0078,1,00:28.200000,TOR,,PHI,,B. Fernando,TOR,Fernando S.FOUL (P1.PN) (P.Fraher),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,3,05:20,TOR,,PHI,,B. Fernando,TOR,Fernando REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,05:05,TOR,,PHI,,B. Fernando,TOR,Fernando REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,05:05,TOR,,PHI,,B. Fernando,TOR,MISS Fernando Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0078,3,05:05,TOR,,PHI,,B. Fernando,TOR,Fernando REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,05:05,TOR,75.0,PHI,66.0,B. Fernando,TOR,Fernando Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,05:05,TOR,76.0,PHI,66.0,B. Fernando,TOR,Fernando Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,03:27,TOR,,PHI,,B. Fernando,TOR,MISS Fernando 1' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-7,13,1,1,2.0,0.0,h
S2425-G0078,3,03:12,TOR,,PHI,,B. Fernando,TOR,Fernando REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,3,02:49,TOR,,PHI,,B. Fernando,TOR,Fernando S.FOUL (P2.PN) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,3,02:49,TOR,,PHI,,B. Fernando,TOR,SUB: Mogbo FOR Fernando,Substitution,,0,0,0,0,,,h
S2425-G0117,1,03:23,CHA,,TOR,,B. Fernando,TOR,Fernando REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0117,1,00:29.300000,CHA,,TOR,,B. Fernando,TOR,Fernando P.FOUL (P1.T4) (T.Ford),Foul,Personal,0,0,0,0,,,v
S2425-G0117,1,00:29.300000,CHA,,TOR,,B. Fernando,TOR,SUB: Mogbo FOR Fernando,Substitution,,0,0,0,0,,,v
