game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,03:38,TOR,,PHI,,C. Boucher,TOR,MISS Boucher 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,18,8,2,1,2.0,0.0,h
S2425-G0078,1,01:13,TOR,,PHI,,C. Boucher,TOR,Boucher BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0078,2,10:01,TOR,,PHI,,C. Boucher,TOR,Boucher BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0078,2,10:00,TOR,,PHI,,C. Boucher,TOR,Boucher BLOCK (3 BLK),,,0,0,0,0,,,h
S2425-G0078,2,09:21,TOR,,PHI,,C. Boucher,TOR,Boucher REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,2,09:14,TOR,39.0,PHI,38.0,C. Boucher,TOR,Boucher Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,2,09:14,TOR,40.0,PHI,38.0,C. Boucher,TOR,Boucher Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,2,08:50,TOR,,PHI,,C. Boucher,TOR,Boucher STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0078,2,08:43,TOR,,PHI,,C. Boucher,TOR,MISS Boucher 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-228,110,25,1,3.0,0.0,h
S2425-G0078,2,08:35,TOR,,PHI,,C. Boucher,TOR,SUB: Agbaji FOR Boucher,Substitution,,0,0,0,0,,,h
S2425-G0078,3,04:35,TOR,,PHI,,C. Boucher,TOR,MISS Boucher 25' 3PT Jump Shot,Missed Shot,Jump Shot,157,197,25,1,3.0,0.0,h
S2425-G0078,3,03:02,TOR,77.0,PHI,71.0,C. Boucher,TOR,Boucher Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,03:02,TOR,78.0,PHI,71.0,C. Boucher,TOR,Boucher Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,02:27,TOR,,PHI,,C. Boucher,TOR,MISS Boucher 26' 3PT Jump Shot,Missed Shot,Jump Shot,-190,177,26,1,3.0,0.0,h
S2425-G0078,3,01:27,TOR,,PHI,,C. Boucher,TOR,Boucher STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0078,4,11:12,TOR,,PHI,,C. Boucher,TOR,Boucher REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,09:23,TOR,,PHI,,C. Boucher,TOR,Boucher BLOCK (4 BLK),,,0,0,0,0,,,h
