game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,00:28.200000,TOR,,PHI,,J. Mogbo,TOR,SUB: Dick FOR Mogbo,Substitution,,0,0,0,0,,,h
S2425-G0078,2,11:14,TOR,,PHI,,J. Mogbo,TOR,Mogbo BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0078,2,11:12,TOR,,PHI,,J. Mogbo,TOR,Mogbo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,2,11:00,TOR,34.0,PHI,31.0,J. Mogbo,TOR,Mogbo Cutting Dunk Shot (2 PTS) (Shead 3 AST),Made Shot,Cutting Dunk Shot,1,-3,0,1,2.0,2.0,h
S2425-G0078,2,10:35,TOR,,PHI,,J. Mogbo,TOR,MISS Mogbo 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,16,81,8,1,2.0,0.0,h
S2425-G0078,2,09:38,TOR,37.0,PHI,38.0,J. Mogbo,TOR,Mogbo Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,2,09:38,TOR,38.0,PHI,38.0,J. Mogbo,TOR,Mogbo Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,2,07:37,TOR,43.0,PHI,40.0,J. Mogbo,TOR,Mogbo Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,2,07:37,TOR,44.0,PHI,40.0,J. Mogbo,TOR,Mogbo Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,2,07:25,TOR,,PHI,,J. Mogbo,TOR,Mogbo BLOCK (2 BLK),,,0,0,0,0,,,h
