game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,11:37,TOR,2.0,PHI,0.0,S. Barnes,TOR,Barnes 1' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,6,4,1,1,2.0,2.0,h
S2425-G0078,1,08:17,TOR,,PHI,,S. Barnes,TOR,MISS Barnes 27' 3PT Jump Shot,Missed Shot,Jump Shot,-37,265,27,1,3.0,0.0,h
S2425-G0078,1,07:19,TOR,,PHI,,S. Barnes,TOR,Barnes Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0078,1,05:19,TOR,,PHI,,S. Barnes,TOR,SUB: Boucher FOR Barnes,Substitution,,0,0,0,0,,,h
S2425-G0078,1,02:30,TOR,25.0,PHI,22.0,S. Barnes,TOR,Barnes 2' Driving Layup (4 PTS) (Boucher 1 AST),Made Shot,Driving Layup Shot,-23,4,2,1,2.0,2.0,h
S2425-G0078,1,01:23,TOR,,PHI,,S. Barnes,TOR,MISS Barnes Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0078,1,01:23,TOR,26.0,PHI,27.0,S. Barnes,TOR,Barnes Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,01:02,TOR,,PHI,,S. Barnes,TOR,Barnes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,00:56.400000,TOR,27.0,PHI,27.0,S. Barnes,TOR,Barnes Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,00:56.400000,TOR,28.0,PHI,27.0,S. Barnes,TOR,Barnes Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,00:08.400000,TOR,30.0,PHI,31.0,S. Barnes,TOR,Barnes 15' Turnaround Jump Shot (9 PTS) (Shead 2 AST),Made Shot,Turnaround Jump Shot,-148,12,15,1,2.0,2.0,h
S2425-G0078,2,10:16,TOR,36.0,PHI,35.0,S. Barnes,TOR,Barnes 4' Cutting Layup Shot (11 PTS) (Shead 4 AST),Made Shot,Cutting Layup Shot,31,21,4,1,2.0,2.0,h
S2425-G0078,2,09:40,TOR,,PHI,,S. Barnes,TOR,Barnes REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,2,08:35,TOR,,PHI,,S. Barnes,TOR,SUB: Pöltl FOR Barnes,Substitution,,0,0,0,0,,,h
S2425-G0078,2,03:35,TOR,,PHI,,S. Barnes,TOR,Barnes REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,2,02:59,TOR,,PHI,,S. Barnes,TOR,Barnes Traveling Turnover (P2.T13),Turnover,Traveling,0,0,0,0,,,h
S2425-G0078,3,09:54,TOR,,PHI,,S. Barnes,TOR,Barnes STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0078,3,09:43,TOR,,PHI,,S. Barnes,TOR,Barnes Lost Ball Turnover (P3.T16),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0078,3,09:43,TOR,,PHI,,S. Barnes,TOR,Barnes L.B.FOUL (P1.T3) (P.Fraher),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0078,3,09:43,TOR,,PHI,,S. Barnes,TOR,Barnes T.FOUL (P1.T3) (P.Fraher),Foul,Technical,0,0,0,0,,,h
S2425-G0078,3,07:10,TOR,,PHI,,S. Barnes,TOR,Barnes BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0078,3,06:19,TOR,71.0,PHI,64.0,S. Barnes,TOR,Barnes Free Throw 1 of 2 (12 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,06:19,TOR,72.0,PHI,64.0,S. Barnes,TOR,Barnes Free Throw 2 of 2 (13 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,06:04,TOR,,PHI,,S. Barnes,TOR,SUB: Fernando FOR Barnes,Substitution,,0,0,0,0,,,h
S2425-G0078,3,02:17,TOR,,PHI,,S. Barnes,TOR,Barnes Bad Pass Turnover (P4.T21),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0078,3,01:54,TOR,80.0,PHI,76.0,S. Barnes,TOR,Barnes 7' Driving Finger Roll Layup (15 PTS),Made Shot,Driving Finger Roll Layup Shot,60,27,7,1,2.0,2.0,h
S2425-G0078,3,00:39.200000,TOR,83.0,PHI,76.0,S. Barnes,TOR,Barnes Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,3,00:39.200000,TOR,,PHI,,S. Barnes,TOR,MISS Barnes Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0078,3,00:04.800000,TOR,,PHI,,S. Barnes,TOR,MISS Barnes 13' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,44,117,13,1,2.0,0.0,h
S2425-G0078,4,10:52,TOR,,PHI,,S. Barnes,TOR,Jump Ball Barnes vs. Lowry: Tip to Carton,Jump Ball,,0,0,0,0,,,h
S2425-G0078,4,10:34,TOR,,PHI,,S. Barnes,TOR,Barnes STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0078,4,10:29,TOR,86.0,PHI,77.0,S. Barnes,TOR,Barnes 1' Running Dunk (18 PTS) (Mogbo 5 AST),Made Shot,Running Dunk Shot,-2,8,1,1,2.0,2.0,h
S2425-G0078,4,10:29,TOR,87.0,PHI,77.0,S. Barnes,TOR,Barnes Free Throw 1 of 1 (19 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0078,4,09:37,TOR,,PHI,,S. Barnes,TOR,SUB: Pöltl FOR Barnes,Substitution,,0,0,0,0,,,h
S2425-G0078,4,05:55,TOR,,PHI,,S. Barnes,TOR,Barnes REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,05:55,TOR,101.0,PHI,85.0,S. Barnes,TOR,Barnes Putback Layup (21 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0078,4,03:50,TOR,,PHI,,S. Barnes,TOR,MISS Barnes 26' 3PT Jump Shot,Missed Shot,Jump Shot,-168,195,26,1,3.0,0.0,h
S2425-G0078,4,03:23,TOR,102.0,PHI,92.0,S. Barnes,TOR,Barnes Free Throw 1 of 2 (22 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,4,03:23,TOR,103.0,PHI,92.0,S. Barnes,TOR,Barnes Free Throw 2 of 2 (23 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,4,01:36,TOR,,PHI,,S. Barnes,TOR,Barnes REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,4,01:17,TOR,107.0,PHI,96.0,S. Barnes,TOR,Barnes 1' Driving Dunk (25 PTS),Made Shot,Driving Dunk Shot,7,3,1,1,2.0,2.0,h
S2425-G0078,4,00:37.100000,TOR,,PHI,,S. Barnes,TOR,Barnes P.FOUL (P2.PN) (P.Fraher),Foul,Personal,0,0,0,0,,,h
S2425-G0078,4,00:21.700000,TOR,114.0,PHI,107.0,S. Barnes,TOR,Barnes Free Throw 1 of 2 (26 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,4,00:21.700000,TOR,115.0,PHI,107.0,S. Barnes,TOR,Barnes Free Throw 2 of 2 (27 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0107,1,11:34,TOR,,DEN,,S. Barnes,TOR,Barnes REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0107,1,08:57,TOR,,DEN,,S. Barnes,TOR,Barnes STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0107,1,06:13,TOR,,DEN,,S. Barnes,TOR,Barnes REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0107,1,06:04,TOR,19.0,DEN,18.0,S. Barnes,TOR,Barnes 7' Running Layup (2 PTS),Made Shot,Running Layup Shot,36,62,7,1,2.0,2.0,h
S2425-G0107,1,05:31,TOR,,DEN,,S. Barnes,TOR,SUB: Boucher FOR Barnes,Substitution,,0,0,0,0,,,h
S2425-G0107,1,01:18,TOR,,DEN,,S. Barnes,TOR,Barnes REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0107,1,00:52.900000,TOR,,DEN,,S. Barnes,TOR,Barnes REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0107,1,00:50.100000,TOR,,DEN,,S. Barnes,TOR,MISS Barnes 7' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,-28,62,7,1,2.0,0.0,h
S2425-G0107,2,11:16,TOR,,DEN,,S. Barnes,TOR,Barnes STEAL (2 STL),,,0,0,0,0,,,h
