game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,1,06:04,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0110,1,06:04,DAL,13.0,UTA,10.0,J. Clarkson,UTA,Clarkson Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,1,05:45,DAL,,UTA,,J. Clarkson,UTA,Clarkson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,05:15,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 28' 3PT Jump Shot,Missed Shot,Jump Shot,-116,252,28,1,3.0,0.0,v
S2425-G0110,1,04:24,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,51,117,13,1,2.0,0.0,v
S2425-G0110,1,03:52,DAL,19.0,UTA,14.0,J. Clarkson,UTA,Clarkson 3' Driving Layup (3 PTS) (Hendricks 2 AST),Made Shot,Driving Layup Shot,29,15,3,1,2.0,2.0,v
S2425-G0110,1,03:02,DAL,,UTA,,J. Clarkson,UTA,Clarkson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,02:17,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-54,118,13,1,2.0,0.0,v
S2425-G0110,1,02:07,DAL,,UTA,,J. Clarkson,UTA,SUB: Markkanen FOR Clarkson,Substitution,,0,0,0,0,,,v
S2425-G0110,2,03:39,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,5,43,4,1,2.0,0.0,v
S2425-G0110,2,01:50,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-66,248,26,1,3.0,0.0,v
S2425-G0110,2,00:48.600000,DAL,,UTA,,J. Clarkson,UTA,Clarkson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,3,06:03,DAL,,UTA,,J. Clarkson,UTA,Clarkson REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,3,05:51,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-72,237,25,1,3.0,0.0,v
S2425-G0110,3,04:42,DAL,,UTA,,J. Clarkson,UTA,Clarkson REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,3,03:00,DAL,70.0,UTA,67.0,J. Clarkson,UTA,Clarkson 17' Jump Shot (5 PTS) (George 3 AST),Made Shot,Jump Shot,47,161,17,1,2.0,2.0,v
S2425-G0110,3,01:20,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-88,231,25,1,3.0,0.0,v
S2425-G0110,3,01:02,DAL,77.0,UTA,68.0,J. Clarkson,UTA,Clarkson Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,3,01:02,DAL,77.0,UTA,69.0,J. Clarkson,UTA,Clarkson Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,3,00:35.200000,DAL,79.0,UTA,70.0,J. Clarkson,UTA,Clarkson Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,3,00:35.200000,DAL,,UTA,,J. Clarkson,UTA,MISS Clarkson Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0110,4,09:02,DAL,,UTA,,J. Clarkson,UTA,Clarkson Bad Pass Turnover (P1.T11),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0110,4,08:28,DAL,,UTA,,J. Clarkson,UTA,SUB: Sexton FOR Clarkson,Substitution,,0,0,0,0,,,v
S2425-G0110,4,04:12,DAL,101.0,UTA,93.0,J. Clarkson,UTA,Clarkson 3PT Jump Shot (11 PTS) (George 5 AST),Made Shot,Jump Shot,233,15,0,1,3.0,3.0,v
S2425-G0110,4,03:23,DAL,,UTA,,J. Clarkson,UTA,Clarkson Offensive Charge Foul (P1) (M.Davis),Foul,Offensive Charge,0,0,0,0,,,v
