game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,1,02:07,DAL,,UTA,,J. Collins,UTA,MISS Collins 4' Running Layup,Missed Shot,Running Layup Shot,37,18,4,1,2.0,0.0,v
S2425-G0110,1,01:48,DAL,,UTA,,J. Collins,UTA,Collins REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,01:47,DAL,,UTA,,J. Collins,UTA,MISS Collins 1' Reverse Layup,Missed Shot,Reverse Layup Shot,9,1,1,1,2.0,0.0,v
S2425-G0110,1,01:30,DAL,,UTA,,J. Collins,UTA,Collins REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,2,11:16,DAL,,UTA,,J. Collins,UTA,Collins S.FOUL (P1.T1) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2425-G0110,2,10:09,DAL,,UTA,,J. Collins,UTA,Collins REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,2,09:36,DAL,31.0,UTA,25.0,J. Collins,UTA,Collins 1' Driving Dunk (2 PTS) (Mills 1 AST),Made Shot,Driving Dunk Shot,1,7,1,1,2.0,2.0,v
S2425-G0110,2,09:08,DAL,,UTA,,J. Collins,UTA,MISS Collins 25' 3PT Jump Shot,Missed Shot,Jump Shot,-157,194,25,1,3.0,0.0,v
S2425-G0110,2,08:58,DAL,,UTA,,J. Collins,UTA,Collins P.FOUL (P2.T2) (B.Nansel),Foul,Personal,0,0,0,0,,,v
S2425-G0110,2,08:19,DAL,35.0,UTA,28.0,J. Collins,UTA,Collins 1' Cutting Layup Shot (4 PTS) (Markkanen 1 AST),Made Shot,Cutting Layup Shot,-2,11,1,1,2.0,2.0,v
S2425-G0110,2,08:19,DAL,35.0,UTA,29.0,J. Collins,UTA,Collins Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0110,2,07:55,DAL,,UTA,,J. Collins,UTA,MISS Collins 1' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,8,8,1,1,2.0,0.0,v
S2425-G0110,2,07:48,DAL,,UTA,,J. Collins,UTA,Collins OFF.Foul (P3) (B.Nansel),Foul,Offensive,0,0,0,0,,,v
S2425-G0110,2,07:48,DAL,,UTA,,J. Collins,UTA,Collins Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0110,2,07:48,DAL,,UTA,,J. Collins,UTA,SUB: Kessler FOR Collins,Substitution,,0,0,0,0,,,v
S2425-G0110,3,04:05,DAL,,UTA,,J. Collins,UTA,Collins STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0110,3,03:49,DAL,,UTA,,J. Collins,UTA,Collins BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0110,3,03:32,DAL,,UTA,,J. Collins,UTA,MISS Collins 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,60,16,6,1,2.0,0.0,v
S2425-G0110,3,02:52,DAL,,UTA,,J. Collins,UTA,Collins Inbound Turnover (P2.T10),Turnover,Inbound Turnover,0,0,0,0,,,v
S2425-G0110,4,11:47,DAL,82.0,UTA,73.0,J. Collins,UTA,Collins 25' 3PT Jump Shot (8 PTS) (Clarkson 4 AST),Made Shot,Jump Shot,179,178,25,1,3.0,3.0,v
S2425-G0110,4,11:05,DAL,84.0,UTA,76.0,J. Collins,UTA,Collins 25' 3PT Jump Shot (11 PTS) (George 4 AST),Made Shot,Jump Shot,129,214,25,1,3.0,3.0,v
S2425-G0110,4,10:46,DAL,,UTA,,J. Collins,UTA,Collins REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,4,10:26,DAL,84.0,UTA,79.0,J. Collins,UTA,Collins 25' 3PT Step Back Jump Shot (14 PTS) (Markkanen 2 AST),Made Shot,Step Back Jump shot,15,247,25,1,3.0,3.0,v
S2425-G0110,4,09:39,DAL,,UTA,,J. Collins,UTA,MISS Collins 24' 3PT Jump Shot,Missed Shot,Jump Shot,-197,136,24,1,3.0,0.0,v
S2425-G0110,4,09:36,DAL,,UTA,,J. Collins,UTA,Collins REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,4,09:36,DAL,86.0,UTA,80.0,J. Collins,UTA,Collins Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,4,09:36,DAL,86.0,UTA,81.0,J. Collins,UTA,Collins Free Throw 2 of 2 (16 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
