game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,1,10:11,DAL,,UTA,,T. Hendricks,UTA,MISS Hendricks 26' 3PT Jump Shot,Missed Shot,Jump Shot,147,216,26,1,3.0,0.0,v
S2425-G0110,1,08:42,DAL,,UTA,,T. Hendricks,UTA,Hendricks REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,06:31,DAL,,UTA,,T. Hendricks,UTA,MISS Hendricks 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,91,16,9,1,2.0,0.0,v
S2425-G0110,1,06:18,DAL,,UTA,,T. Hendricks,UTA,Hendricks S.FOUL (P1.T2) (M.Davis),Foul,Shooting,0,0,0,0,,,v
S2425-G0110,1,02:07,DAL,,UTA,,T. Hendricks,UTA,SUB: Sexton FOR Hendricks,Substitution,,0,0,0,0,,,v
S2425-G0110,2,04:19,DAL,,UTA,,T. Hendricks,UTA,MISS Hendricks 14' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-50,127,14,1,2.0,0.0,v
S2425-G0110,2,03:01,DAL,41.0,UTA,34.0,T. Hendricks,UTA,Hendricks Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,2,03:01,DAL,41.0,UTA,35.0,T. Hendricks,UTA,Hendricks Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0110,2,01:32,DAL,,UTA,,T. Hendricks,UTA,Hendricks REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,2,01:27,DAL,,UTA,,T. Hendricks,UTA,Hendricks Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0110,2,01:24,DAL,,UTA,,T. Hendricks,UTA,Hendricks STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0110,2,00:51.200000,DAL,,UTA,,T. Hendricks,UTA,Hendricks BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0110,3,11:27,DAL,,UTA,,T. Hendricks,UTA,Hendricks REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,3,10:48,DAL,,UTA,,T. Hendricks,UTA,MISS Hendricks 24' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,-170,174,24,1,3.0,0.0,v
S2425-G0110,3,09:54,DAL,,UTA,,T. Hendricks,UTA,MISS Hendricks 3PT Jump Shot,Missed Shot,Jump Shot,-226,-3,0,1,3.0,0.0,v
S2425-G0110,3,08:12,DAL,,UTA,,T. Hendricks,UTA,Hendricks S.FOUL (P2.T1) (K.Lane),Foul,Shooting,0,0,0,0,,,v
S2425-G0110,3,05:59,DAL,,UTA,,T. Hendricks,UTA,SUB: Filipowski FOR Hendricks,Substitution,,0,0,0,0,,,v
S2425-G0070,1,11:42,UTA,,MEM,,T. Hendricks,UTA,Hendricks REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0070,1,10:15,UTA,,MEM,,T. Hendricks,UTA,Hendricks S.FOUL (P1.T1) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2425-G0070,1,09:47,UTA,,MEM,,T. Hendricks,UTA,Hendricks S.FOUL (P2.T2) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2425-G0070,1,07:15,UTA,,MEM,,T. Hendricks,UTA,Hendricks REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0070,1,06:10,UTA,,MEM,,T. Hendricks,UTA,MISS Hendricks 26' 3PT Jump Shot,Missed Shot,Jump Shot,131,221,26,1,3.0,0.0,h
S2425-G0070,1,05:17,UTA,,MEM,,T. Hendricks,UTA,Hendricks STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0070,1,05:08,UTA,,MEM,,T. Hendricks,UTA,SUB: Collins FOR Hendricks,Substitution,,0,0,0,0,,,h
S2425-G0070,2,09:44,UTA,,MEM,,T. Hendricks,UTA,Hendricks S.FOUL (P3.T1) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0070,2,09:44,UTA,,MEM,,T. Hendricks,UTA,SUB: Williams FOR Hendricks,Substitution,,0,0,0,0,,,h
S2425-G0070,3,06:47,UTA,69.0,MEM,75.0,T. Hendricks,UTA,Hendricks 24' 3PT Jump Shot (3 PTS) (George 5 AST),Made Shot,Jump Shot,229,74,24,1,3.0,3.0,h
S2425-G0070,3,04:02,UTA,77.0,MEM,81.0,T. Hendricks,UTA,Hendricks 3PT Jump Shot (6 PTS) (Clarkson 5 AST),Made Shot,Jump Shot,-234,15,0,1,3.0,3.0,h
