game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,10:28,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,10:28,WAS,6.0,ATL,0.0,B. Coulibaly,WAS,Coulibaly 2' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,6,16,2,1,2.0,2.0,h
S2425-G0121,1,08:30,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0121,1,08:03,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,08:03,WAS,14.0,ATL,7.0,B. Coulibaly,WAS,Coulibaly Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0121,1,07:09,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,07:08,WAS,15.0,ATL,9.0,B. Coulibaly,WAS,Coulibaly Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,1,07:08,WAS,16.0,ATL,9.0,B. Coulibaly,WAS,Coulibaly Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,1,06:42,WAS,19.0,ATL,11.0,B. Coulibaly,WAS,Coulibaly 24' 3PT Jump Shot (9 PTS) (Poole 3 AST),Made Shot,Jump Shot,-243,-16,24,1,3.0,3.0,h
S2425-G0121,1,06:28,WAS,21.0,ATL,11.0,B. Coulibaly,WAS,Coulibaly 2' Running Alley Oop Dunk Shot (11 PTS) (George 2 AST),Made Shot,Running Alley Oop Dunk Shot,-17,2,2,1,2.0,2.0,h
S2425-G0121,1,06:17,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly P.FOUL (P1.T2) (S.Wright),Foul,Personal,0,0,0,0,,,h
S2425-G0121,1,06:08,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,05:51,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly P.FOUL (P2.T3) (S.Jelks),Foul,Personal,0,0,0,0,,,h
