game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,06:00,WAS,24.0,ATL,11.0,J. Valančiūnas,WAS,Valančiūnas 26' 3PT Jump Shot (3 PTS) (Poole 4 AST),Made Shot,Jump Shot,11,256,26,1,3.0,3.0,h
S2425-G0121,1,05:08,WAS,,ATL,,J. Valančiūnas,WAS,Valančiūnas OFF.Foul (P1) (G.Petraitis),Foul,Offensive,0,0,0,0,,,h
S2425-G0121,1,05:08,WAS,,ATL,,J. Valančiūnas,WAS,Valančiūnas Offensive Foul Turnover (P1.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0121,1,02:58,WAS,,ATL,,J. Valančiūnas,WAS,MISS Valančiūnas 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,59,22,6,1,2.0,0.0,h
S2425-G0121,1,02:37,WAS,,ATL,,J. Valančiūnas,WAS,MISS Valančiūnas Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0121,1,02:37,WAS,27.0,ATL,26.0,J. Valančiūnas,WAS,Valančiūnas Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,1,01:56,WAS,,ATL,,J. Valančiūnas,WAS,Valančiūnas REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,01:55,WAS,,ATL,,J. Valančiūnas,WAS,Valančiūnas Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0121,2,06:38,WAS,,ATL,,J. Valančiūnas,WAS,MISS Valančiūnas 12' Jump Shot,Missed Shot,Jump Shot,-119,25,12,1,2.0,0.0,h
S2425-G0121,2,04:02,WAS,,ATL,,J. Valančiūnas,WAS,Jump Ball (CC) Valančiūnas vs. Okongwu: Tip to Kispert,Jump Ball,Coach Challenge,0,0,0,0,,,h
S2425-G0121,2,03:31,WAS,,ATL,,J. Valančiūnas,WAS,SUB: Sarr FOR Valančiūnas,Substitution,,0,0,0,0,,,h
S2425-G0121,3,05:48,WAS,73.0,ATL,79.0,J. Valančiūnas,WAS,Valančiūnas 2' Cutting Layup Shot (6 PTS) (Poole 6 AST),Made Shot,Cutting Layup Shot,-22,-2,2,1,2.0,2.0,h
S2425-G0121,3,05:16,WAS,75.0,ATL,82.0,J. Valančiūnas,WAS,Valančiūnas 15' Jump Shot (8 PTS) (Poole 7 AST),Made Shot,Jump Shot,20,153,15,1,2.0,2.0,h
S2425-G0121,3,04:22,WAS,,ATL,,J. Valančiūnas,WAS,Valančiūnas REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,3,03:30,WAS,82.0,ATL,82.0,J. Valančiūnas,WAS,Valančiūnas 2' Driving Dunk (10 PTS),Made Shot,Driving Dunk Shot,4,16,2,1,2.0,2.0,h
S2425-G0121,3,03:04,WAS,,ATL,,J. Valančiūnas,WAS,Valančiūnas REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
