game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,10:04,WAS,,ATL,,K. George,WAS,MISS George 29' 3PT Jump Shot,Missed Shot,Jump Shot,151,242,29,1,3.0,0.0,h
S2425-G0121,1,09:09,WAS,8.0,ATL,5.0,K. George,WAS,George 3' Cutting Layup Shot (2 PTS) (Poole 2 AST),Made Shot,Cutting Layup Shot,23,10,3,1,2.0,2.0,h
S2425-G0121,1,08:25,WAS,12.0,ATL,7.0,K. George,WAS,George 2' Running Dunk (4 PTS) (Coulibaly 1 AST),Made Shot,Running Dunk Shot,15,10,2,1,2.0,2.0,h
S2425-G0121,1,08:08,WAS,,ATL,,K. George,WAS,MISS George 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,199,153,25,1,3.0,0.0,h
S2425-G0121,1,02:57,WAS,,ATL,,K. George,WAS,SUB: Baldwin Jr. FOR George,Substitution,,0,0,0,0,,,h
S2425-G0121,2,03:22,WAS,,ATL,,K. George,WAS,George S.FOUL (P1.T2) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2425-G0121,2,02:41,WAS,,ATL,,K. George,WAS,George REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,01:28,WAS,,ATL,,K. George,WAS,George REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,01:01,WAS,,ATL,,K. George,WAS,MISS George 27' 3PT Jump Shot,Missed Shot,Jump Shot,221,160,27,1,3.0,0.0,h
S2425-G0121,3,09:51,WAS,,ATL,,K. George,WAS,George STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0121,3,09:13,WAS,63.0,ATL,68.0,K. George,WAS,George 1' Driving Layup (6 PTS),Made Shot,Driving Layup Shot,-11,0,1,1,2.0,2.0,h
S2425-G0121,3,07:52,WAS,,ATL,,K. George,WAS,George STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0121,3,07:47,WAS,,ATL,,K. George,WAS,MISS George 4' Running Layup,Missed Shot,Running Layup Shot,39,11,4,1,2.0,0.0,h
S2425-G0121,3,04:28,WAS,,ATL,,K. George,WAS,SUB: Davis FOR George,Substitution,,0,0,0,0,,,h
S2425-G0121,4,10:40,WAS,,ATL,,K. George,WAS,George P.FOUL (P2.T1) (S.Jelks),Foul,Personal,0,0,0,0,,,h
S2425-G0121,4,10:14,WAS,101.0,ATL,94.0,K. George,WAS,George 3' Cutting Layup Shot (8 PTS) (Sarr 2 AST),Made Shot,Cutting Layup Shot,-27,16,3,1,2.0,2.0,h
S2425-G0121,4,09:52,WAS,104.0,ATL,94.0,K. George,WAS,George 27' 3PT Running Jump Shot (11 PTS) (Carrington 4 AST),Made Shot,Running Jump Shot,207,169,27,1,3.0,3.0,h
S2425-G0121,4,09:38,WAS,,ATL,,K. George,WAS,George S.FOUL (P3.T2) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2425-G0121,4,08:32,WAS,,ATL,,K. George,WAS,MISS George 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-217,135,26,1,3.0,0.0,h
S2425-G0121,4,08:24,WAS,,ATL,,K. George,WAS,George S.FOUL (P4.T3) (S.Jelks),Foul,Shooting,0,0,0,0,,,h
S2425-G0121,4,04:53,WAS,,ATL,,K. George,WAS,George STEAL (3 STL),,,0,0,0,0,,,h
S2425-G0121,4,04:18,WAS,,ATL,,K. George,WAS,SUB: Carrington FOR George,Substitution,,0,0,0,0,,,h
S2425-G0073,1,01:40,WAS,,BOS,,K. George,WAS,MISS George 27' 3PT Jump Shot,Missed Shot,Jump Shot,181,195,27,1,3.0,0.0,h
S2425-G0073,1,00:17.100000,WAS,,BOS,,K. George,WAS,George S.FOUL (P1.PN) (J.Reneau),Foul,Shooting,0,0,0,0,,,h
S2425-G0073,2,11:34,WAS,,BOS,,K. George,WAS,MISS George 30' 3PT Jump Shot,Missed Shot,Jump Shot,-165,252,30,1,3.0,0.0,h
S2425-G0073,2,08:25,WAS,38.0,BOS,41.0,K. George,WAS,George 2' Cutting Dunk Shot (2 PTS) (Bagley III 1 AST),Made Shot,Cutting Dunk Shot,21,13,2,1,2.0,2.0,h
S2425-G0073,2,07:19,WAS,,BOS,,K. George,WAS,George S.FOUL (P2.T3) (J.Capers),Foul,Shooting,0,0,0,0,,,h
S2425-G0073,2,06:50,WAS,,BOS,,K. George,WAS,George REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,2,06:32,WAS,,BOS,,K. George,WAS,George REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,2,06:25,WAS,,BOS,,K. George,WAS,SUB: Carrington FOR George,Substitution,,0,0,0,0,,,h
S2425-G0073,3,05:00,WAS,,BOS,,K. George,WAS,MISS George 3PT Jump Shot,Missed Shot,Jump Shot,-230,-17,0,1,3.0,0.0,h
S2425-G0073,3,04:44,WAS,64.0,BOS,85.0,K. George,WAS,George 1' Alley Oop Dunk (4 PTS) (Coulibaly 6 AST),Made Shot,Alley Oop Dunk Shot,-11,-4,1,1,2.0,2.0,h
S2425-G0073,3,01:57,WAS,,BOS,,K. George,WAS,George P.FOUL (P3.T4) (J.Capers),Foul,Personal,0,0,0,0,,,h
S2425-G0073,3,01:44,WAS,,BOS,,K. George,WAS,George REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,4,07:16,WAS,,BOS,,K. George,WAS,MISS George 25' 3PT Jump Shot,Missed Shot,Jump Shot,-27,253,25,1,3.0,0.0,h
S2425-G0073,4,04:07,WAS,,BOS,,K. George,WAS,George STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0073,4,03:54,WAS,,BOS,,K. George,WAS,SUB: Davis FOR George,Substitution,,0,0,0,0,,,h
S2425-G0090,1,04:42,WAS,,CLE,,K. George,WAS,George P.FOUL (P1.PN) (K.Cutler),Foul,Personal,0,0,0,0,,,h
S2425-G0090,1,02:03,WAS,,CLE,,K. George,WAS,George REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0090,1,00:42.400000,WAS,,CLE,,K. George,WAS,George BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0090,1,00:40.600000,WAS,,CLE,,K. George,WAS,George REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0090,2,10:51,WAS,,CLE,,K. George,WAS,MISS George 7' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,72,-7,7,1,2.0,0.0,h
S2425-G0090,2,10:39,WAS,,CLE,,K. George,WAS,George BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0090,2,10:24,WAS,,CLE,,K. George,WAS,George REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0090,2,10:16,WAS,,CLE,,K. George,WAS,MISS George 27' 3PT Jump Shot,Missed Shot,Jump Shot,-44,268,27,1,3.0,0.0,h
S2425-G0090,2,10:10,WAS,,CLE,,K. George,WAS,George S.FOUL (P2.T1) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,2,07:56,WAS,,CLE,,K. George,WAS,SUB: Kuzma FOR George,Substitution,,0,0,0,0,,,h
S2425-G0090,3,04:23,WAS,,CLE,,K. George,WAS,MISS George 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,16,24,1,3.0,0.0,h
S2425-G0090,3,01:34,WAS,,CLE,,K. George,WAS,MISS George 7' Driving Layup,Missed Shot,Driving Layup Shot,16,68,7,1,2.0,0.0,h
S2425-G0090,3,01:25,WAS,,CLE,,K. George,WAS,George P.FOUL (P3.T4) (M.Boland),Foul,Personal,0,0,0,0,,,h
S2425-G0090,4,11:18,WAS,,CLE,,K. George,WAS,George Out of Bounds Lost Ball Turnover (P1.T10),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0090,4,09:51,WAS,,CLE,,K. George,WAS,George Lost Ball Turnover (P2.T11),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0090,4,08:31,WAS,,CLE,,K. George,WAS,George BLOCK (3 BLK),,,0,0,0,0,,,h
S2425-G0090,4,07:43,WAS,,CLE,,K. George,WAS,George BLOCK (4 BLK),,,0,0,0,0,,,h
S2425-G0090,4,06:19,WAS,95.0,CLE,119.0,K. George,WAS,George Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0090,4,06:19,WAS,,CLE,,K. George,WAS,MISS George Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0090,4,06:16,WAS,,CLE,,K. George,WAS,George REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0090,4,05:31,WAS,,CLE,,K. George,WAS,MISS George 5' Driving Layup,Missed Shot,Driving Layup Shot,33,31,5,1,2.0,0.0,h
S2425-G0090,4,05:19,WAS,,CLE,,K. George,WAS,George S.FOUL (P4.T4) (A.Smith),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,4,04:37,WAS,104.0,CLE,124.0,K. George,WAS,George Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0090,4,04:37,WAS,,CLE,,K. George,WAS,MISS George Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0090,4,03:22,WAS,,CLE,,K. George,WAS,George S.FOUL (P5.PN) (A.Smith),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,4,01:52,WAS,,CLE,,K. George,WAS,MISS George 25' 3PT Jump Shot,Missed Shot,Jump Shot,229,107,25,1,3.0,0.0,h
S2425-G0090,4,00:42.800000,WAS,,CLE,,K. George,WAS,MISS George 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,-8,24,1,3.0,0.0,h
S2425-G0103,1,02:43,ATL,,WAS,,K. George,WAS,MISS George 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-162,200,26,1,3.0,0.0,v
