game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,1,09:39,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 12' Floating Jump Shot,Missed Shot,Floating Jump shot,-70,96,12,1,2.0,0.0,h
S2425-G0073,1,08:05,WAS,,BOS,,K. Kuzma,WAS,Kuzma Violation:Kicked Ball (J.Capers),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0073,1,07:33,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 8' Driving Layup,Missed Shot,Driving Layup Shot,-59,48,8,1,2.0,0.0,h
S2425-G0073,1,07:13,WAS,,BOS,,K. Kuzma,WAS,Kuzma REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,06:19,WAS,,BOS,,K. Kuzma,WAS,Kuzma Out of Bounds Lost Ball Turnover (P1.T2),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0073,1,05:12,WAS,,BOS,,K. Kuzma,WAS,Kuzma BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0073,1,04:10,WAS,24.0,BOS,17.0,K. Kuzma,WAS,Kuzma 6' Driving Hook Shot (2 PTS) (Kispert 2 AST),Made Shot,Driving Hook Shot,16,57,6,1,2.0,2.0,h
S2425-G0073,1,03:53,WAS,,BOS,,K. Kuzma,WAS,SUB: George FOR Kuzma,Substitution,,0,0,0,0,,,h
S2425-G0073,2,07:26,WAS,40.0,BOS,45.0,K. Kuzma,WAS,Kuzma 5' Driving Hook Shot (4 PTS),Made Shot,Driving Hook Shot,-21,49,5,1,2.0,2.0,h
S2425-G0073,2,07:07,WAS,42.0,BOS,47.0,K. Kuzma,WAS,Kuzma 5' Driving Layup (6 PTS),Made Shot,Driving Layup Shot,31,36,5,1,2.0,2.0,h
S2425-G0073,2,06:46,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 25' 3PT Jump Shot,Missed Shot,Jump Shot,-208,139,25,1,3.0,0.0,h
S2425-G0073,2,06:26,WAS,46.0,BOS,47.0,K. Kuzma,WAS,Kuzma 3' Cutting Dunk Shot (8 PTS) (Coulibaly 4 AST),Made Shot,Cutting Dunk Shot,-9,33,3,1,2.0,2.0,h
S2425-G0073,2,04:57,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-47,86,10,1,2.0,0.0,h
S2425-G0073,2,04:04,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 27' 3PT Jump Shot,Missed Shot,Jump Shot,135,235,27,1,3.0,0.0,h
S2425-G0073,2,04:00,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,115,-10,12,1,2.0,0.0,h
S2425-G0073,2,02:04,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,104,78,13,1,2.0,0.0,h
S2425-G0073,2,00:32.300000,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 28' 3PT Jump Shot,Missed Shot,Jump Shot,-180,214,28,1,3.0,0.0,h
