game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,2,10:10,WAS,,ATL,,M. Bagley III,WAS,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,09:35,WAS,38.0,ATL,42.0,M. Bagley III,WAS,Bagley III 5' Driving Hook Shot (2 PTS) (Butler 2 AST),Made Shot,Driving Hook Shot,-44,10,5,1,2.0,2.0,h
S2425-G0121,2,07:41,WAS,,ATL,,M. Bagley III,WAS,MISS Bagley III 10' Floating Jump Shot,Missed Shot,Floating Jump shot,23,96,10,1,2.0,0.0,h
S2425-G0121,2,06:29,WAS,,ATL,,M. Bagley III,WAS,SUB: George FOR Bagley III,Substitution,,0,0,0,0,,,h
S2425-G0073,2,07:50,WAS,,BOS,,M. Bagley III,WAS,Bagley III Bad Pass Turnover (P1.T9),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0073,2,06:43,WAS,,BOS,,M. Bagley III,WAS,Bagley III REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,2,06:43,WAS,44.0,BOS,47.0,M. Bagley III,WAS,Bagley III 3' Reverse Layup (2 PTS),Made Shot,Reverse Layup Shot,-23,17,3,1,2.0,2.0,h
S2425-G0073,2,05:51,WAS,,BOS,,M. Bagley III,WAS,Bagley III REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,2,05:51,WAS,48.0,BOS,49.0,M. Bagley III,WAS,Bagley III Tip Dunk Shot (4 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,h
S2425-G0073,2,05:30,WAS,,BOS,,M. Bagley III,WAS,Bagley III REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,2,04:42,WAS,,BOS,,M. Bagley III,WAS,MISS Bagley III 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,20,63,7,1,2.0,0.0,h
S2425-G0073,2,04:02,WAS,,BOS,,M. Bagley III,WAS,Bagley III REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,2,04:02,WAS,,BOS,,M. Bagley III,WAS,SUB: Sarr FOR Bagley III,Substitution,,0,0,0,0,,,h
S2425-G0073,4,07:43,WAS,85.0,BOS,113.0,M. Bagley III,WAS,Bagley III 3' Reverse Dunk (6 PTS) (Baldwin Jr. 1 AST),Made Shot,Reverse Dunk Shot,12,24,3,1,2.0,2.0,h
S2425-G0073,4,06:57,WAS,,BOS,,M. Bagley III,WAS,Bagley III REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,4,06:28,WAS,87.0,BOS,113.0,M. Bagley III,WAS,Bagley III 2' Alley Oop Dunk (8 PTS) (George 2 AST),Made Shot,Alley Oop Dunk Shot,16,8,2,1,2.0,2.0,h
S2425-G0073,4,05:47,WAS,,BOS,,M. Bagley III,WAS,MISS Bagley III 27' 3PT Jump Shot,Missed Shot,Jump Shot,157,220,27,1,3.0,0.0,h
S2425-G0073,4,05:16,WAS,,BOS,,M. Bagley III,WAS,MISS Bagley III 3' Alley Oop Dunk,Missed Shot,Alley Oop Dunk Shot,-29,-2,3,1,2.0,0.0,h
S2425-G0073,4,03:20,WAS,,BOS,,M. Bagley III,WAS,Bagley III REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,4,03:20,WAS,,BOS,,M. Bagley III,WAS,MISS Bagley III Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
