feature,importance
assist_rate,3482
assist_to_turnover,3203
turnovers,1456
assists_first_half,985
season_game_num,933
assist_to_turnover_avg_10g,918
assists_avg_5g,726
assists_avg_10g,702
career_game_num,693
assists_avg_3g,671
assists_momentum,574
assists_trend_5g,400
assists_std_5g,349
assist_rate_avg_5g,345
minutes,341
opponent_encoded,330
assists_avg_7g,323
opponent_off_rebounds_avg,317
assist_rate_avg_10g,301
opponent_off_points_avg,293
opponent_off_ts_avg,285
assist_to_turnover_avg_5g,158
minutes_avg_7g,144
rebounds_avg_10g,142
minutes_avg_10g,126
rebounds_avg_7g,123
opponent_off_assists_avg,103
usage_proxy_avg_5g,100
fouls_avg_5g,81
fouls_avg_10g,74
rebound_rate_avg_10g,74
usage_proxy,74
rebound_rate,73
rebound_rate_avg_5g,69
minutes_avg_3g,68
usage_proxy_avg_10g,68
true_shooting_pct_avg_10g,67
minutes_avg_5g,62
turnovers_avg_3g,62
minutes_std_5g,61
points_std_5g,57
points_momentum,56
rebounds_avg_5g,56
turnovers_avg_10g,55
rebounds_trend_5g,49
rebounds_avg_3g,47
points_avg_3g,47
points_avg_10g,45
true_shooting_pct_avg_5g,44
rebounds_momentum,43
opponent_def_points_allowed,38
rebounds_std_5g,38
fouls_avg_3g,35
points_trend_5g,35
turnovers_avg_7g,30
points_avg_5g,27
fouls_avg_7g,26
points_avg_7g,25
turnovers_avg_5g,24
opponent_def_assists_allowed,22
scoring_efficiency,19
position_encoded,14
player_cluster,13
likely_closer,10
opponent_def_rebounds_allowed,8
true_shooting_pct,7
is_season_start,1
steals_avg_10g,0
likely_starter,0
steals_avg_3g,0
is_home,0
steals_avg_5g,0
steals,0
season_progress,0
is_back_to_back,0
blocks_avg_7g,0
steals_avg_7g,0
blocks_avg_3g,0
is_season_end,0
blocks_avg_10g,0
is_rested,0
blocks_avg_5g,0
