feature,importance
rebound_rate,9966
minutes,9407
rebounds_avg_3g,485
rebounds_avg_7g,483
rebounds_trend_5g,479
rebounds_std_5g,413
rebounds_avg_10g,412
usage_proxy,369
rebounds_avg_5g,342
minutes_std_5g,331
points_trend_5g,326
true_shooting_pct_avg_5g,320
career_game_num,299
opponent_off_ts_avg,299
points_std_5g,296
true_shooting_pct_avg_10g,288
rebound_rate_avg_10g,282
opponent_off_points_avg,281
points_momentum,277
season_game_num,276
usage_proxy_avg_5g,275
rebound_rate_avg_5g,258
opponent_encoded,253
opponent_off_rebounds_avg,246
turnovers_avg_10g,243
rebounds_momentum,241
opponent_def_points_allowed,235
true_shooting_pct,226
usage_proxy_avg_10g,224
turnovers_avg_5g,214
minutes_avg_5g,210
opponent_def_assists_allowed,203
points_avg_10g,201
minutes_avg_10g,192
turnovers_avg_7g,188
minutes_avg_3g,180
opponent_def_rebounds_allowed,179
scoring_efficiency,172
fouls_avg_3g,163
points_avg_3g,157
points_avg_5g,150
fouls_avg_7g,147
minutes_avg_7g,142
turnovers_avg_3g,136
fouls_avg_10g,131
fouls,125
points_avg_7g,118
fouls_avg_5g,113
opponent_off_assists_avg,96
is_home,82
position_encoded,46
likely_starter,39
likely_closer,30
assist_to_turnover,21
assist_rate,17
player_cluster,12
assists_momentum,9
assists_avg_7g,9
assists_std_5g,9
assist_rate_avg_5g,8
assists_avg_3g,7
assist_to_turnover_avg_10g,7
assists_trend_5g,6
assist_to_turnover_avg_5g,5
assists_avg_5g,4
is_season_start,3
assist_rate_avg_10g,2
assists_avg_10g,1
blocks,0
steals_avg_3g,0
steals_avg_10g,0
steals_avg_5g,0
is_back_to_back,0
blocks_avg_7g,0
season_progress,0
steals_avg_7g,0
blocks_avg_10g,0
off_rebounds,0
is_season_end,0
blocks_avg_3g,0
def_rebounds,0
is_rested,0
blocks_avg_5g,0
